EP01: IN
EP01: はあ？ | 啊？
EP05: 大事な話なんです　二人きりで話したいんですよ | 事关重大 我想和你单独聊聊
EP05: お願いですから聞いてください | 求你了 请你听我说
EP05: ヤダ | 不要
EP05: いきなり修羅場かよ | 上来就是最高难度
EP05: 彼ピ　かわいそうじゃん | 男票好可怜的
EP05: だーかーら　あいつは彼氏でもなんでもないの | 都说了 他不是我男朋友什么的
EP05: 勝手に変なウワサ流すな | 别乱传奇怪的谣言
EP05: 綾瀬さん　朝はすごく話してくれたじゃないですか | 绫濑同学 早上我们不是聊了很多吗
EP05: なんで今は話してくれないんですか | 为什么现在不愿意和我说话了
EP05: あんただってしゃべらないって言ったじゃん | 你不也说不想和我说话了吗
EP05: あれは売り言葉に買い言葉っていうか | 我那只是一时气不过
EP05: 本当は綾瀬さんと話したくてしかたがないんですよ | 其实我非常非常想和你说话
EP05: 言うよねー | 真敢说啊
EP05: いいぞー　オタク君 | 说得好 阿宅
EP05: うるせえ | 闭嘴
EP05: イヤなもんはイヤなんだよ | 我说不要就不要
EP05: どっか行ってよ | 快走开
EP05: うわ　冷たっ　ひどくね | 好冷漠 太过分了吧
EP05: ひでえのはお前らだろ | 你们才过分
EP05: ジブンと仲よくするの　そんなに恥ずかしいですか | 和我一起玩就那么丢人吗
EP05: そんな全力で拒否らなくてよくない | 你也没必要拼命拒绝他吧
EP05: 友達なら軽くシャレで流してたじゃん　今まで | 要真只是朋友 你几句话不就糊弄过去了
EP05: らしくないじゃん | 这不像你哦
EP05: 綾瀬さん　もう帰っちゃったかな | 绫濑同学 她回家了吗
EP05: すいません | 对不起
EP05: ごめんなさい　大丈夫ですか | 抱歉 你没事吧
EP05: いや…こっちこそ | 没…你也没事吧
EP05: 私のバッグ　水筒入ってて　痛くなかったですか | 我包里装了水瓶 没撞疼你吧
EP05: いや　全然でしたね | 哎呀 完全不痛呢
EP05: 鍛えてるからかな | 可能是因为我有在锻炼吧
EP05: 本当にごめんなさい | 真是对不起
EP05: あのっ　ジブンが悪いんです | 那个 是我不好
EP05: き…気にしないでください | 请…请别在意
EP05: すごく優しいんですね | 你真的很温柔呢
EP05: ああ　モヤモヤする | 啊 真是好烦
EP05: なんかウチだけが悪いみたいじゃん | 搞得好像是我的错一样
EP05: いや　あれはウチが悪いわ | 不对 的确是我的错
EP05: 何あれ　友達いないとか言ってなかったっけ | 什么情况 他不是说自己没有朋友吗
EP05: しかもちょっとカワイイし | 而且还挺可爱
EP05: ねえ　見た　今の | 你看见了吗
EP05: あのオタク　超アホヅラしてたし | 刚刚那阿宅 一脸蠢样
EP05: あれ完全に落ちたよね | 完全被我迷住了呢
EP05: 私のことめっちゃ好きになったでしょ | 肯定已经喜欢上我了吧
EP05: あんたもよくやるね | 你也真是会玩
EP05: ええ　だって楽しいじゃん　カスを好きにさせるの | 因为很有意思嘛 让这些虫子喜欢上我
EP05: どうせ　あんなヤツ女の子とまともに話したことないでしょ | 反正那种人也没正经和女孩说过话吧
EP05: 私みたいなカワイイ子に触れられるなんて　今後絶対ないだろうし | 今后肯定也没有像我这样可爱的女孩愿意碰他了
EP05: 夢見せてあげてるんだし　よくない | 让他做做梦不也挺好吗
EP05: あのオタクメガネも幸せだ… | 那个四眼阿宅肯定也很幸福…
EP05: アイラ | 爱罗
EP05: 大丈夫 | 没事吧
EP05: っていうか　なんでタライ | 话说哪来的盆
EP05: 今　真上から落ちてきたよね | 刚刚从正上方掉下来的对吧
EP05: あれ　さっきの人倒れてる | 咦 刚刚那人怎么倒地上了
EP05: まさか　ジブンとぶつかった衝撃があとから影響して | 难道是被我撞上造成的冲击影响滞后了
EP05: あ…綾瀬さん？ | 绫…绫濑同学？
EP05: オーカルン　一緒に帰ろ | 超然仔 一起回去吧
EP05: 今日もイカしてるねえ　そのメガネ姿 | 你戴眼镜的样子 今天也很帅呢
EP05: バカ女にはわかんねえか　オカルンの魅力は | 蠢女人不明白吧 超然仔的魅力
EP05: 男落とすより　頭にタライ落としてるほうがお似合いだぜ | 比起男人 似乎你对铁盆的吸引力更大
EP05: ごめん　オカルン | 抱歉 超然仔
EP05: ウチ　最低な態度とってた | 我之前对你态度那么差
EP05: 中庭で　その　キスしたみたいになって | 在中庭里弄得好像亲上了一样
EP05: なんかテンパっちゃって | 搞得我脑子一团乱
EP05: 恥ずかしがってごめんね | 抱歉 我不该那么害羞
EP05: オカルンと仲よくするの恥ずかしくないから | 我也没觉得和你玩很丢人
EP05: いえ　いいんです　全然気にしてません | 不 没关系的 我完全没在意
EP05: むしろ仲直りできて　すごくうれしいです | 不如说我很高兴能跟你和好
EP05: そんなことより大変なんですよ　綾瀬さん | 比起这种事 有更大的问题 绫濑同学
EP05: はあ　ちょっと　そんなことって何よ | 什么叫比起这种事啊
EP05: 結構悩んでたんですけど | 我可是烦恼了好久
EP05: 落ち着いて聞いてください | 请你冷静点听我说
EP05: ジブンたち　ターボババア倒しましたよね | 我们打倒高速婆婆了对吧
EP05: 倒したじゃん　お参りもしたでしょ | 打倒了啊 还去参拜过了
EP05: オカルンの呪いも解けてるし　アソコも戻ったでしょ | 你的诅咒也解除了 那玩意也回来了吧
EP05: ないっす | 没了
EP05: 何が | 什么没了
EP05: タマ | 蛋蛋
EP05: はあ | 什么
EP05: タマがないっす | 蛋蛋没了
EP05: だから　見せろって言っただろうが | 所以就说让你给我看看了
EP05: そもそも　なんで気付かねえんだよ　てめえのタマだろうが | 说到底怎么会没注意到呢 那不是你自己的蛋蛋吗
EP05: 綾瀬さん　笑いすぎでしょ | 绫濑同学 你笑得也太过了吧
EP05: サオは戻ってたし | 棒子都回来了
EP05: それで安心して　タマまでは気付けなくて | 一时安心害得我没注意到蛋蛋
EP05: サオって　おめえいいように言ってんじゃねえぞ | 什么棒子 说得那么好听
EP05: エンピツだろう　おめえのは | 顶多就是支铅笔吧
EP05: 見たことねえだろ | 你又没看过
EP05: しかたねえ　ちょっと見てみるか | 没办法 我稍微看一眼吧
EP05: え　見るんですか | 什么 你要看吗
EP05: おめえのチンコなんか見ねえよ | 谁要看你的鸡鸡啊
EP05: 見るのはおめえの中身だ | 我要看的是你的灵魂
EP05: モモ　なんでもいいから　人形持ってこい | 小桃 随便拿个人偶过来
EP05: あと洗面器に水だ | 再装一脸盆水来
EP05: こいつの中に　なんかいるぜ | 这家伙体内有什么东西在
EP05: よし　じゃあ始めるぜ | 好了 那就开始吧
EP05: 人形に札付けたな | 符咒贴在人偶上了吧
EP05: この… | 你这个…
EP05: バカチンが | 白痴
EP05: なんすか　これ | 这是在做什么
EP05: 動くな　しゃべるな　腐ったミカン | 别动 别说话 你这烂橘子
EP05: ちょっと待って　それ完全にふざけてないですか | 等下 你真的没在闹着玩吗
EP05: 「人」という字は棒が支え合ってんだろがい | 「人」字是由棒子相互支撑组成的
EP05: はい　ふざけてる | 我知道了 你就是在闹着玩
EP05: っていうか　金八先生は腐ったミカンて言わないから | 而且金八老师才不会骂别人是烂橘子
EP05: モモ　今なんか見えなかったか | 小桃 你刚刚看到什么了吗
EP05: 見えた | 看到了
EP05: 今　オカルンがたたかれた時 | 刚刚超然仔被打的时候
EP05: 「炎」が一瞬変わった | 有一瞬间「气」变了
EP05: よし　モモ　手伝え | 好 小桃 你来帮忙
EP05: オーラの色が変わった瞬間　そのオーラを引っ張り出せ | 在气颜色改变的瞬间 把它拽出来
EP05: 人のオーラって取り出せるの | 人的气还能被拽出来吗
EP05: それはこいつのじゃねえ | 那不是他的气
EP05: 異物なら取り出せるはずだ | 既然是异物就应该能取出来
EP05: いくぞ | 要上了
EP05: 集中しろよ | 集中注意
EP05: あいよ | 来吧
EP05: あれ　今感触あったのに | 咦 刚刚明明感觉抓到了
EP05: 出したらなくなった | 拉出来以后却没了
EP05: ヤバい　ばあちゃん　逃がしたかも | 坏了奶奶 可能让它跑了
EP05: 落ち着け | 冷静
EP05: 待て　こら | 给我站住
EP05: そっち行ったぞ　捕まえろ　おら | 往那边跑了 给我抓住它
EP05: 速っ　なんなのマジで | 好快 那究竟是什么
EP05: どこ行った　腐ったミカン | 跑哪去了 烂橘子
EP05: そうだ | 对了
EP05: どこだ　猫 | 你在哪呢 猫咪
EP05: いた | 有了
EP05: 捕まえた | 抓到它了
EP05: たぶん　ここ | 应该在这
EP05: 放せ　クソだらあ | 放开我 混账
EP05: てめえら３人ともブチ殺したらあ | 我要宰了你们三个混蛋
EP05: すごいっすね　綾瀬さん | 好厉害 绫濑同学
EP05: 超能力が進化してるじゃないですか | 你的超能力又进化了吧
EP05: イエーイ　どうよ | 耶 怎么样
EP05: おらおら　シュッシュッ | 欧拉欧拉 咻咻
EP05: 来いよ | 来啊
EP05: んで　こいつ何 | 所以说 这是什么玩意
EP05: シュシュシュシュッ | 咻咻咻咻
EP05: おらおら　おらおら | 欧拉欧拉
EP05: さあ | 谁知道
EP05: シュシュシュシュッ | 咻咻咻咻
EP05: こいつは驚いた | 这可真没想到
EP05: 何これ | 这是什么
EP05: おらおら | 欧拉欧拉
EP05: ターボババアさ | 是高速婆婆
EP05: ターボババアは倒したじゃん　成仏させたんでしょ | 高速婆婆不是被我们打倒了吗 她已经成佛了吧
EP05: 誰がてめえら若造ごときにやられるかよ | 我怎么会被你们几个毛头小鬼干掉
EP05: 年上ナメんじゃねえぜ | 少瞧不起老人
EP05: なんかカワイくない | 不觉得有点可爱吗
EP05: ナメんじゃねえってんだよ　クソが | 说了别小瞧我 混蛋
EP05: ワシは結界術で焼かれる刹那 | 我在快被结界术烧死的瞬间
EP05: 炎の中を泳ぐように霊体になって | 化为灵体游出了火海
EP05: 小僧の体に乗り移ったのさ | 最后附在了这小子身上
EP05: 虫の息だったせいもあって | 我当时已经奄奄一息
EP05: 小僧の中では完全に気配を消せた | 也因此才能在这小子体内彻底消除气息
EP05: ワシはこいつの中で隠れつつ　霊力の回復を待って | 我打算藏身在他体内 静待灵力恢复
EP05: 時が来たら　てめえらをブチ殺そうと考えてたのさ | 时机成熟后 再把你们赶尽杀绝
EP05: まだやる気　あんた負けたじゃん | 你还想打吗 明明已经输了
EP05: 負けてねえわ | 我才没输
EP05: ワシが負けるわけねえだろ　ボケが | 我怎么可能会输 你这蠢货
EP05: 特に　てめえは許さねえぜ | 尤其是你 我绝对不会放过
EP05: ボキャボキャに　するわああああ | 我要让你死无全尸
EP05: あんた　状況わかってる | 你搞清楚状况了吗
EP05: 今　主導権持ってんのこっちだから | 现在主导权在我们手里
EP05: 思ってることしゃべりすぎ | 你把自己的计划透露太多了
EP05: そうだぞ　タマ返せ　ジブンのタマを | 没错 交出蛋蛋 把我的蛋蛋还来
EP05: お前に逃げ場はないんだからな | 你已经无路可逃了
EP05: ワシを倒そうなんて考えねえほうがいいぜえ | 劝你们别想打倒我
EP05: ワシが死ねば　てめえのタマは永久に元に戻らねえ | 要是我死了 你的蛋蛋就永远回不来了
EP05: まぬけなてめえらもやっと状況を把握したかよ | 你们这帮蠢材终于搞清楚状况了吗
EP05: 主導権はワシにしかねえんだよ　このクソだらあが | 真正掌握主导权的是我 你们这帮混账
EP05: とりあえず小僧は包丁持ってこい | 总之小子你先去拿菜刀来
EP05: んで　この女２人　殺せ | 然后把那两个女人杀了
EP05: そしたらタマ返してやるよ | 完事我就把蛋蛋还你
EP05: お前 | 你这家伙
EP05: やらんかい | 还不快去
EP05: てめえはワシの言うことを聞くしかねえんだよ | 你只能照我说的做
EP05: さっさとやれや | 赶紧动手
EP05: そういうのめっちゃストレス　萎えるぜ | 这种事真让人头大 郁闷了
EP05: なんで | 为什么
EP05: ターボババア追い出したのに　なんで変身できんの | 高速婆婆已经被赶出来了 你为什么还能变身
EP05: バカな　どうなってやがる | 不可能 这是怎么回事
EP05: このハリセンはよ　悪霊を体から追い出すためのもんだがよ | 这把纸扇 是专门用来驱赶人体内的恶灵的
EP05: よっぽどがんばってへばりついてたのか | 似乎是高速婆婆拼命附着他不肯走
EP05: ババアの意識だけが出てきちまったみてえだな | 结果就只有意识被赶出来了
EP05: つまり　てめえの霊力はガキに残ったままで | 也就是说 你的灵力还留在他的体内
EP05: 意識だけが人形に乗り移ったってことだ | 只有意识转移到了人偶身上
EP05: ちなみに　意識を元に戻せるのはワシだけだが | 顺带一提 只有我能让你的意识回到原处
EP05: さっき　この金八に向かってまぬけとか言ってなかったか | 刚才你好像骂我金八是蠢材对吧
EP05: このバカチン　クソ猫　腐ったミカン | 你这白痴 臭猫 烂橘子
EP05: すいませんでした　先生 | 非常抱歉 老师
EP05: 先生じゃねえわ　ボケ | 老娘才不是老师 蠢货
EP05: アイテッ　アイテテテ | 好痛 痛痛痛
EP05: イカすぜ　星子ちゃん | 星子好帅
EP05: アイテッ　痛い | 好痛 痛痛痛
EP05: カスが　ボケが | 渣滓 蠢货
EP05: 何やってんだ　こらー | 你在搞什么鬼 王八蛋
EP05: 戻った | 变回来了
EP05: すいません | 非常抱歉
EP05: すごいじゃん　どうやって変身したの | 好厉害 你是怎么变身的
EP05: いや　わかんないっす | 我也不知道
EP05: すたこらさっさ | 快溜
EP05: なんか　すごく腹が立って　許せないと思ったら | 就是很生气 想着不能饶了她
EP05: 待て　こら　逃げんじゃねえ　ボケ | 站住 别想逃 蠢货
EP05: 痛い | 好痛
EP05: クソ猫 | 臭猫
EP05: なってました | 然后就变身了
EP05: 痛い | 好痛
EP05: このバカチンが　腐ったミカンが | 你这白痴 烂橘子
EP05: もういいって　やめてあげなよ | 差不多就行了 饶了她吧
EP05: セコいヤツだけどさあ | 尽管你是个狡猾的家伙
EP05: ぶっちゃけあんたのこと　あんま憎めないんだよね | 但我其实也没那么恨你
EP05: あの子たちに同情する気持ちは同じだしさ | 我也和你一样 很同情那些失足少女
EP05: だから友好的にいこうぜ | 所以就让我们友好相处吧
EP05: あんたがタマ返してくれたら　ウチらもあんたの力返すよ | 只要你把蛋蛋给他 我们就把灵力还给你
EP05: ね | 好吗
EP05: クソだらあが | 你这混账
EP05: いいぜ | 好吧
EP05: よっしゃ決まり | 就这样说定了
EP05: じゃあ早速　タマ返して | 那你赶紧把蛋蛋还给他
EP05: ここにはねえ | 不在我这里
EP05: ねえ　約束したじゃん | 我们不是说好了吗
EP05: さっさと… | 你赶紧…
EP05: ワシはウソはつかねえ | 我没有说谎
EP05: こいつのタマ　どこかに落としちまった | 这小子的蛋蛋 不知道掉哪去了
EP05: やべー | 不妙
EP05: やべー | 不妙
EP05: 何がやべーんですか | 什么不妙
EP05: 人間ってのはよ　気付いたらやべーって言っちまう生きものなんだよ | 人类这种生物啊 总是一回过神来就把不妙挂在嘴边了
EP05: 超わかる | 超同意
EP05: 次回「やべー女がきた」 | 下集 「不妙的女人来了」
EP05: だから　何がやべーんですか | 所以到底什么不妙
EP05: #注：俚语，意为吐舌傻笑
EP05: #「バモラー」：葡萄牙语「Vamo la」
EP05: #蛋蛋在哪里
EP05: #蛋蛋在哪里
EP05: #19世纪拍摄的吉萨狮身人面像
EP05: #古代埃及的壁画中，时常会出现UFO或是宇宙飞船等飞行物的身影。埃及的阿布辛拜勒神庙中拉美西斯二世壁画便是一个著名的例子。这幅壁画中描绘了UFO漂浮在法老王的头顶上空的场景。此外，阿蒙霍特普三世时期于埃及底比斯修建的库努牡神殿中，也同样雕刻有UFO。古代埃及人靠着其强大的文明实力，比当今人类更早实现了与UFO交流。先前提到的法老诅咒以及混凝土相关技术，或许都是通过与UFO的交流得到的。这还只是一部分 拉美西斯二世的壁画
EP05: #古代壁画中发现UFO
EP05: #金字塔的石头
EP05: #图坦卡蒙的X光照片
EP05: #紧接着，从墓中发现了法老王图坦卡蒙的黄金棺以及大量的贵重遗物。然而发现它们的同时，墓穴中名为诅咒的不幸便开始陆续降临。最初的不幸发生在发掘开始后不久。发掘团队的一员被蜜蜂蛰后感染上病症，几天后便离开了人世。后来，发掘团队的成员均死于各式各样的不幸 图坦卡蒙
EP05: #据一些著名的考古学家说，墓穴在过去的长达三千年间都被遗忘了。卡那封卿的狗对发掘做出了巨大贡献。那只狗敏锐地发现了墓穴的所在，并朝着人们大叫告知此事。然而，这座墓穴本来可能仅靠人类无法发现，但因为防人的隐藏措施被狗破坏而重见天日。这难道不是胡乱的推测吗。但考虑到这之后的悲剧，或许没有狗的话…我不禁如此想到。
EP05: #然而，这导致了后来的一系列悲剧…埃及的法老王们为了在死后也能获得永恒的生命，为自己建造了壮观的墓地。这座墓地有着神奇的魔力，能将亲眼目睹过这座墓地的人，甚至只是听闻过这座墓地的人深深吸引。但同时，这座墓地也会用诅咒，将一切入侵者残忍地审判。诅咒生效的例子之一，称之为考古学上最重大的发现也不为过，这便是围绕图坦卡蒙墓穴的一系列事件。卡特在时任财务大臣兼埃及考古学资助者的卡那封君主帮助下，开始了墓穴的发掘。在长达五年的发掘工作后，他于1922年11月4日发现了图坦卡蒙的墓穴。
EP05: #如今也充满谜团的金字塔
EP05: #汇聚吧！力量
EP05: #螃蟹+高速婆婆
EP05: #未确认动物？ 灵异现象？
EP05: #河蟹？
EP05: #灵异现象
EP05: #袭击我们的外星人只有男性
EP05: #他们平时吃什么？
EP05: #蘸面
EP05: #沙拉调料
EP05: #面包之森
EP05: #沙拉调料
EP05: #蘸面
EP05: #面包之森
EP05: #安家保身　　　　扫灾除厄
EP05: #注：博多方言，由电视剧「3年B组金八先生」带火
EP05: #注：剧中角色曾用橘子腐烂比喻不良少年对班级的影响
EP05: #注：同样是剧中台词，原话意为「『人』字展现了人与人相互依靠的样子」
EP05: #不妙的女人来了
EP05: OUT

EP06: IN
EP06: タマはワシの霊力の膜に包まれてる | 蛋蛋被我的灵力膜包裹着
EP06: ５センチくらいの金色に輝くタマだ | 直径五公分左右 闪烁着金色光辉
EP06: 見れば一発でわかるはずだぜ | 应该一眼就能看出来
EP06: いや　どこにもないっす | 可我哪都找不到
EP06: ムリムリ　そんな小さいの見つかんないって | 不行 这么小的东西根本找不到
EP06: こんだけ探してもないってことはよ　もう取られちまったかもな | 这么费劲都找不到 估计已经被谁捡走了
EP06: タマには強い生命力が宿ってるからよ | 蛋蛋里寄宿着强大的生命力
EP06: 霊や妖怪ってのはそういうもんに引かれんのさ | 很容易吸引鬼魂妖怪之类
EP06: 生命力の強いもんを集めれば　自分は生き返れるって信じてんだよ | 它们相信只要收集生命力强大的东西 自己就能复活
EP06: だから悪霊なんかは人から生命力を奪おうとして襲うのさ | 所以恶灵才会为了夺取生命力而袭击人类
EP06: それってヤバくない | 那岂不是很不妙
EP06: 誰かに取られたら　探しようないじゃん | 被捡走的话不就没法找了
EP06: んなこと　ワシが知るかよ | 这事我可不管
EP06: てめえがなくしたんだろうがよ | 是你把它们弄丢的
EP06: 痛い…やめて　痛い | 好痛…别踩了 好痛
EP06: お前も探せ　この野郎 | 你也来帮忙找 混蛋
EP06: このクソだらあどもが | 你们这帮混账
EP06: ちょ…やめ　痛い　ちょ…やめ | 停…别 好痛 停…别
EP06: この仕打ち　絶対に忘れねえぞ | 这份屈辱 我绝不会忘记
EP06: 一回帰って　別の方法考えたほうがいいわ | 还是先回去想想别的办法吧
EP06: ですね | 也是
EP06: あった | 找到了吗
EP06: 全然ねっす | 完全没有
EP06: 手がかりがねえんじゃ　しかたねえなあ | 毕竟毫无线索 也没办法
EP06: ワシも知り合いにタマ情報がないか聞いてみるぜ | 我也去问问认识的人有没有蛋蛋情报
EP06: タマ情報？ | 蛋蛋情报？
EP06: あと　おめえの中にはまだターボババアの力が入ってることを忘れんな | 另外 不要忘了你体内还有高速婆婆的力量
EP06: 今回は暴走してねえみてえだがよ | 虽然这次似乎没有失控
EP06: 危険な力には変わりねえ | 但它仍然是股危险的力量
EP06: 何かわかるまではじっとしてな | 找出对策之前不要轻举妄动
EP06: はい | 好的
EP06: ねえ | 我说
EP06: お前　綾瀬さんとつきあってるの | 你在和绫濑同学交往吗
EP06: いや　つきあってないですけど | 不 我们没在交往
EP06: そうなの　なーんだ | 是吗 什么嘛
EP06: じゃあさ　綾瀬さん　俺らに紹介してくんない | 那你能不能介绍我们认识
EP06: 綾瀬さんって超カワイイじゃん | 绫濑同学超可爱的吧
EP06: ずっと仲よくなりたいって思ってたんだよね | 我一直想跟她搞好关系
EP06: 綾瀬さんが… | 绫濑同学…
EP06: カワイイ | 很可爱
EP06: そんなの考えたことなかった | 我从没往这方面想过
EP06: 初めて友達ができてうれしくて | 第一次交到朋友 光顾着开心了
EP06: でも　確かに　よく考えたらカワイイかも | 不过的确 仔细想想她好像真的很可爱
EP06: いや　待て | 不 等等
EP06: 綾瀬さんは友達だ | 绫濑同学是我的朋友
EP06: カワイイなんて思うのはダメだ　不純だ | 别在意她有多可爱 动机不纯了
EP06: なあ　綾瀬さんとヤッたんだろ | 你和她做过了吧
EP06: 誰でもヤらせてくれるってウワサじゃん | 不是有传言说她和谁都可以做吗
EP06: 誰がそんなことを | 这是谁说的
EP06: 知らないけど　そうなんでしょ | 不知道 难道不是吗
EP06: ねえ　頼むって | 拜托你了
EP06: 誰がそんなウワサ流してんですか | 是谁散布的谣言
EP06: お前　これどういうつもり | 你这是想做什么
EP06: やんの | 想打架吗
EP06: ウワサ流してんのは誰かって聞いてんだぜえ | 我在问你是谁散布的谣言
EP06: モモちゃんはよお | 小桃她啊
EP06: そんなんじゃねえんだわ | 才不是那种人
EP06: やめとけ　そういうウワサ流すの | 别再散布那种谣言了
EP06: 俺じゃねえって | 不是我传的
EP06: わかったよ | 我知道了
EP06: わかったから　放せって | 我知道了 快放开我
EP06: おい　どうした　大丈夫か | 怎么样 你没事吧
EP06: ごめんなさい | 抱歉
EP06: 落ち着け　落ち着けー | 冷静 冷静
EP06: よう | 哟
EP06: 苦戦してるみてえだな | 看来你遇上麻烦了
EP06: 学校なんて何百年ぶりだぜ | 几百年没来过学校了
EP06: キレイになっちまって | 修得这么漂亮了
EP06: なんでこんなとこにいんだよ | 你怎么会在这里
EP06: そもそも　綾瀬さんちで隔離されてんじゃないのかよ | 你不是被关在绫濑同学家里了吗
EP06: 星子のヤツが「猫は自由にしてろだ」とよ | 星子说「猫咪就该是自由的」
EP06: 「どうせ　何もできねえから」ってよ | 说我「反正也做不了什么」
EP06: 言いそう　あの人 | 的确像她会说的话
EP06: それよりも　大変じゃねえか | 比起这个 你很辛苦吧
EP06: その力　お前さんには荷が重すぎるよなあ | 这份力量对你而言过于沉重了
EP06: ワシをもう一度　お前の中に入れておくれ | 让我再一次进入你的体内吧
EP06: 心配すんな　ワシは自分の力を取り戻したらすぐ出てってやるよ | 别担心 我取回自己的力量后立马就出来
EP06: やり方は簡単だぜ | 方法很简单
EP06: ふざけるな　タマを返してもらうのが先だろ | 开什么玩笑 先把蛋蛋还给我
EP06: そんな口車に乗せられるかよ | 我才不会被你的花言巧语骗到
EP06: オカルン | 超然仔
EP06: 何してんの | 你在做什么
EP06: 綾瀬さん　それが今… | 绫濑同学 其实…
EP06: この中にター… | 我刚开包时 高…
EP06: シーッ　黙れ | 嘘 安静
EP06: ボバ…バ… | 速婆…婆…
EP06: 綾瀬さんって超カワイイじゃん | 绫濑同学超可爱吧
EP06: カワイイ | 可爱
EP06: 何それ | 这是干嘛
EP06: なんで距離取ってんだよ | 为什么要跑
EP06: いや　その　違うんですこれは | 不是 没有 我没跑
EP06: ちゃんとこっち向きなさいよ | 好好面对着我
EP06: いや　ちょっと… | 不行 那个…
EP06: てか　止まれよ | 你给我站住
EP06: 何逃げてんだよ | 干嘛一直跑
EP06: 待て　こらー | 站住 混蛋
EP06: 違うんですってー | 不是你想的那样
EP06: ブチ殺したらあ | 让我杀了你
EP06: なんでー | 为什么
EP06: 久々にキャンパスライフっちゅうもんを堪能するかい | 我也尽情享受下久违的校园生活吧
EP06: よいしょっと | 嘿咻
EP06: モモ　何怒ってんの | 小桃 你生什么气呢
EP06: どうした　彼ピとなんかあった | 怎么了 和男票发生什么事了吗
EP06: なんか　めっちゃ避けられてんだけど　マジ腹立つ | 感觉他老是躲着我 真让人火大
EP06: あと彼氏じゃねえから | 还有 他不是我男朋友
EP06: あいついいヤツじゃん | 那家伙人挺好的
EP06: はあ　なんでいきなり　何言ってんの | 什么 你怎么突然这么说
EP06: C組のヤツに聞いたの | 我听C班那些人说了
EP06: オカルン　モモの悪口言われて男子とモメたんだってさ | 超然仔和说小桃坏话的男生吵起来了
EP06: 何それ | 什么情况
EP06: なんか　イヤなウワサ流してるヤツがいるらしいよ　あんたの | 好像有人在散布关于你的谣言
EP06: それで怒ったんだってさ | 然后他就生气了
EP06: じゃあ　なんで避けてんのさ | 那他为什么要躲着我
EP06: 私って　美少女すぎる | 我真是超级美少女
EP06: 廊下を歩くだけで　みんなの目をクギヅケにしちゃうんだもん | 只是从走廊经过 大家的目光就会聚焦在我身上
EP06: カワイイだけじゃないわ | 而且我不仅仅是可爱
EP06: そこら辺のボンクラどもにも笑顔であいさつしてあげるの | 就连那帮蠢货我都会笑脸相迎
EP06: 美少女に好かれてると思い込むことで　彼らは明日を生きられるの | 他们误以为美少女青睐自己 才有动力活下去
EP06: 優しさも兼ね備えた美少女 | 我还是善良的美少女
EP06: でも　こんなパーフェクトな私にも　怒りプンプンなことがあって | 但是有件事 即使完美如我也忍不住要生气气
EP06: あのクソ女を陥れるために　ビッチ疑惑を流してやったのに | 为了抹黑那个臭女人 我散布了她是放荡女传闻
EP06: ウワサがあんま広がってなくて　プンプン | 但谣言都没怎么传开 真讨厌
EP06: みんな　何もわかってない | 大家根本就不知道
EP06: あの女は悪魔だってこと | 那女人是个恶魔
EP06: 私はあの時　ハッキリ見たの | 当时我看得一清二楚
EP06: あの女に悪魔の翼が生えているのを | 她的背后长着恶魔之翼
EP06: 綾瀬桃　あいつは間違いなく悪魔だ | 绫濑桃 她毫无疑问是恶魔
EP06: でも　私が突然あんなものを見えるようになったってことは | 不过我突然变得能看到那种东西
EP06: 私は選ばれた存在ってことなのね | 一定是因为我被选中了
EP06: なんとなくわかってた | 我早就有所察觉
EP06: 私　美少女すぎるから | 我可是超级美少女
EP06: その証拠に　こんなものが空から降ってきたし | 证据 也已从天而降
EP06: 金のタマ | 这颗金色宝珠
EP06: 邪悪な悪魔から　この世界を救えってことなのね | 是要我从邪恶的恶魔手中拯救世界吧
EP06: わかった　やるわ | 知道了 交给我吧
EP06: なぜなら私は　美少女なんだもの | 毕竟 我可是美少女
EP06: イッタ | 好疼
EP06: アイッター　腹立つ | 好疼 气死我了
EP06: 何これ | 什么玩意
EP06: ビー玉？ | 玻璃弹珠？
EP06: あれ | 咦
EP06: アイラ | 爱罗
EP06: 例のもの持ってきたよ | 你要的东西我们带来了
EP06: 借りものだから気をつけて | 毕竟是借来的 小心点用
EP06: ようやく装備がそろったようね | 装备终于凑齐了
EP06: なんか油臭くない　このロザリオちゃんと本物 | 怎么一股油味 这是真的十字架吗
EP06: そんなのわかんないよ | 这我哪知道
EP06: ねえ　ホントにやるの | 我说 你真要那么做吗
EP06: 当たり前でしょ | 当然
EP06: 私は選ばれたんだから　美少女すぎるがゆえに | 我可是作为超级美少女 被上天选中之人
EP06: 世界を救わなきゃいけないの | 我必须拯救世界
EP06: 友達だから信じるけどさ | 我们是朋友才这么相信你
EP06: アイラ最近　変だよ | 可你最近怪怪的
EP06: 今やろうとしてることだって　やっぱおかしいっていうか | 你现在要做的事会不会太奇怪了
EP06: ちょっと待って　あれ何 | 等等 那是什么
EP06: 赤いワンピースの女がいる | 有个穿红色连衣裙的女人
EP06: ごめん　ウチらには全然見えないわ | 抱歉 我们完全看不到
EP06: まさか　あれはヤツの使い魔 | 那难道是她的使魔
EP06: 綾瀬桃は私たちの行動を監視しているんだわ | 绫濑桃正在监视我们的行动
EP06: ２人とも　姿勢を低くして　ヤツの使い魔に見つかっちゃう | 你俩快蹲下 别被她的使魔发现了
EP06: 白鳥さん　何してんの | 白鸟同学 你在做什么
