EP01: IN
EP01: おはよう　ニコラ | 早上好 妮可拉
EP02: 体力の薬　回復の薬 | 体力药 回复药
EP02: すごーい　さすがシーカー様 | 太强了 不愧是探索者
EP02: さて　どうするか | 接下来怎么办呢
EP02: あの人たち　お仲間ではないんですか | 那些人不是你的同伴吗
EP02: ずいぶんなれなれしかったですけど | 感觉还挺熟络的
EP02: いや　同業者だけど知らない人 | 不是 虽然是同行 但我不认识他们
EP02: 何が目的かわからないけど　追ってきそうな気はする | 不知道他们有什么目的 感觉还会追过来
EP02: どうするんですか | 我们该怎么办
EP02: そうですね | 我想想
EP02: よし　決めた | 好 我决定了
EP02: しばらくはここでじっと隠れていよう | 我们在这里藏一阵子吧
EP02: しばらくって | 暂时是多久
EP02: 何日か何か月か | 几天啊 或者几个月
EP02: 忍耐力には自信があるんだ | 我还是挺有耐心的
EP02: そんなにですか | 这么久啊
EP02: お　いた　ラッキー | 找到了 真走运
EP02: アンタたち　デバッグモード使ってるな | 你们是在用调试模式吧
EP02: えー　それは使ってるけど | 对啊 当然在用啦
EP02: 何か問題でも | 有什么问题吗
EP02: デバッグモード？ | 调试模式？
EP02: デバッグモードは　よほどのことがないかぎり使っちゃダメだって　最初に言われたはずだ | 一开始就告诉过你们吧 非紧急情况不能用调试模式
EP02: ハガさんが　怒ってる | 羽贺先生生气了
EP02: ユーザーと同じ環境でチェックしないと意味がないから | 如果不站在玩家视角 测试根本就没有意义
EP02: 基本的には使わないって | 基本不会用到调试模式
EP02: デバッグの基本だろ | 这是测试的基本吧
EP02: デバッグモードの使用が原因になるバグだってあるんだぞ | 还有因为滥用调试模式而出现的bug
EP02: 何がおかしい | 有什么好笑的
EP02: 落ち着け落ち着け | 冷静冷静
EP02: びっくりさせたなら悪かったよ | 不好意思吓到你了
EP02: 君がクソ真面目なのはよーくわかった | 我们已经深刻理解你有多认真了
EP02: 謝る | 向你道歉
EP02: 君の言うとおりだ　基本的には | 你说的基本上都对
EP02: ただ今は非常事態だろ | 但现在就是紧急情况吧
EP02: 俺たちはこの世界から出られない　違う | 我们无法离开这个世界了 不是吗
EP02: こういうときは同業者同士助け合わんと | 这种情况 我们调试员就得互相帮助啊
EP02: まっ　そういうことで | 所以说啊
EP02: 俺らと一緒に来ないかい | 你要不要也加入我们
EP02: 俺はアソビング株式会社のサカイ | 我是游戏ing股份公司的酒井
EP02: で　こっちはスミダさんつの | 这位是隅田先生
EP02: よろしっこ | 请多关照
EP02: 株式会社ニシマテックのハガです | 我是二岛科技股份公司的羽贺
EP02: ニシマさんって池袋の | 二岛 是在池袋吗
EP02: 前に「モニカズキャッスル」で一緒にデバッグしなかった | 之前是不是在「莫妮卡的城堡」里一起做过测试
EP02: ああ　はい　やりましたね | 啊 好像是有做过
EP02: で　そっちの君は | 那你呢
EP02: 私はルイーザ村のニコラです | 我是路易莎村的妮可拉
EP02: あれ　ノン・プレイヤー・キャラクター？ | 咦 是NPC？
EP02: なんだNPCかよ | 居然是NPC
EP02: 君も頭固そうに見えて　楽しくやってんじゃん | 你虽然看起来怪死板的 还挺会找乐子啊
EP02: 安心したぜ | 我放心了
EP02: 俺たちは社長を中心にちゃんとまとまっていてね | 我们以社长为中心 统一活动
EP02: デバッグモードについてもよくわかってないことが多いから | 调试模式也还有很多不清楚的地方
EP02: 他のデバッガーを勧誘したり　情報交換したり | 所以我们会招纳其他调试员 一起交换情报
EP02: みんなでいろいろ試しながら生活しているんだ | 大家一边尝试各种事物 一边共同生活
EP02: 仲間は多いほうが　なんにしろいいじゃない　ねえ | 不管怎么说 朋友还是越多越好 对吧
EP02: ならどうして… | 那为什么…
EP02: どうして真面目にデバッグしないんですか | 那你们为什么不认真做测试
EP02: そっすね… | 这个嘛…
EP02: ログアウトできない状況で１年近く | 我们被困在游戏里游戏快一年了
EP02: 逆にどうして真面目に仕事しよって思います | 我反倒想问问你怎么还在认真工作
EP02: クリアまで通して報告し続ければ　出られるかもしれないじゃないですか | 一直报告bug到游戏通关 说不定就能出去了
EP02: しばらく前だったが | 就在不久之前
EP02: お前と同じようなことを言ってたヤツらに会ったな | 我们碰到一群跟你说着同样话的人
EP02: シナリオを進めていたが | 虽说是在推进游戏剧情
EP02: アイツらアホ | 那群蠢货啊
EP02: 言ってることの根拠ないし　なんか宗教っぽかったよ | 说着毫无根据的话 跟宗教似的
EP02: 同じようなことを言ってた奴ら？ | 跟我说着同样话的人？
EP02: ねえねえ　よーく考えてみ　ハガちゃん | 我说 好好想想嘛 羽贺老弟
EP02: ちゃん… | 老弟…
EP02: デバッグの仕事をしなくたって　もはやなんの責任も問われないし | 现在就算不做测试的工作 也不会有人来追你的责
EP02: だいたい君　現実に戻ってなんかいいことあんの | 再说了 回到现实世界有什么好事等着你吗
EP02: 夢とか目標とかなくてなんとなく生きてる | 没有梦想 没有目标 活得浑浑噩噩
EP02: 緩い自殺みたいな生活じゃなかった | 那种生活和慢性自杀有何区别
EP02: ということで　俺らはこっちのほうがいいじゃんって話に落ち着いたわけ | 所以啊 我们都觉得游戏里的生活更好
EP02: 変なプライド捨てて割り切っちゃえば　めちゃくちゃ楽しいぜ | 干脆点舍弃掉你那奇怪的自尊会过得更开心哦
EP02: 例えば　うちの社長は城の塔の先に　何体のNPCを刺せるかチャレンジ中だし | 比如说 我们社长在尝试城墙的塔尖能刺穿多少NPC
EP02: 俺はヴァンパイアの耐久実験にハマってる | 我则是沉迷于吸血鬼的耐性试验
EP02: この人なんて　NPCの裸体ベッドで寝てんだぜ | 这人居然把裸体NPC当床睡
EP02: このムッツリスケベ | 真是个闷骚的色胚
EP02: うるさい | 闭嘴
EP02: だってそうじゃ　ヤバイ趣味だよ | 我没胡说吧 真是糟糕的爱好
EP02: ハガさん　この人たち… | 羽贺先生 这两个人…
EP02: 黙れ | 住口
EP02: 僕は一人でも仕事を続ける | 就算只有一个人我也要继续工作
EP02: 君たちとは　行かない | 不会和你们同流合污
EP02: めんどくさ | 麻烦死了
EP02: 結局こうなんのか | 结果还是要这样吗
EP02: お前がウケ狙いでいきなり刺すからだろう | 都怪你突然刺他寻乐吧
EP02: 俺はまどろっこしいのは嫌いだ | 我讨厌磨磨蹭蹭的
EP02: さっさと気絶させて連れ去ろう | 赶紧打晕他们带走吧
EP02: チャージα　レベル５ | 冲撞α 等级五
EP02: また煙幕か… | 又是烟雾吗…
EP02: 逃げるスキルだけは鍛えてるっぽいな　アイツ | 那家伙 逃跑技能倒是很熟练啊
EP02: タンクっぽいのに | 明明看着像坦克
EP02: 頑なにデバッグモードは使わないようだな | 他似乎坚决不打算使用调试模式啊
EP02: 簡単に捕まえられるだろ | 应该很容易就能抓住
EP02: 最近はデバッガー狩りも少なくなったからな | 最近也很少狩猎调试员
EP02: いい暇つぶしになる | 能好好消遣一下了
EP02: 向こうはデバッグモードを使ってる　勝てるわけない | 对方用了调试模式 不可能打得过
EP02: 逃げるしかないけど　どうやって逃げる | 只能逃跑了 但要怎么逃
EP02: ハガさん　追ってくる様子はありません | 羽贺先生 他们好像没有追上来
EP02: あの人たちは余裕があるんだ | 他们要追上来很容易
EP02: 入ってくるとき見たでしょ | 你看见他们怎么进来的了吧
EP02: あの石板を使えば　地形は無視できるし　無敵状態にもなれる | 只要用那块石板就能无视地形 还能进入无敌状态
EP02: 石板で無敵？ | 石板能无敌？
EP02: それなら　その石板を奪っちゃえば | 那如果夺走石板呢
EP02: 奪う？ | 夺走？
EP02: そうか | 对啊
EP02: なかなかすばしっこいな | 你挺能跑嘛
EP02: しかしどこへ逃げようというのかね | 但又能逃去哪里呢
EP02: イチかバチかだ | 只能赌一把了
EP02: 行こう　ニコラ | 我们走 妮可拉
EP02: スミダさん　飽きたら交代してね | 隅田先生 玩腻了记得换我上哦
EP02: ああ | 好
EP02: 力がみなぎる | 力量满溢出来
EP02: 腰痛も痔もない | 没有腰痛和痔疮
EP02: まったくこの世界は　最高だな | 这个世界简直太棒了
EP02: その先の塔です　右側の | 就是前面那座塔 在右边
EP02: 分かった | 我知道了
EP02: 自ら袋小路にはまるとはバカめ | 蠢货 居然自寻死路
EP02: 鬼ごっこは終わりだ | 捉迷藏到此结束
EP02: チャージα　レベル５ | 冲撞α 等级五
EP02: 二手に分かれたか | 分开逃吗
EP02: 無駄なことを | 无谓的抵抗
EP02: 技のクールタイムは０秒だぞ | 我的技能可没有冷却时间
EP02: 壁にぶつかった後に鈍そうな女のほうへ飛べば | 撞上墙壁后朝着那迟钝的女人方向飞
EP02: まずは１体ゲット | 就能先抓住一个
EP02: だから　真面目にチェックしろって言ってるんだ | 所以说 让你们仔细检查啊
EP02: デバッグストーン | 我的调试石
EP02: もう一人が　まだ近くにいるはず | 另一个人应该还在附近
EP02: 僕から離れないで | 不要离我太远
EP02: はい | 好的
EP02: マジかよ　スミダさん | 真的假的 隅田先生
EP02: 描画されてないエリアじゃ何が起こるかわからない | 没人知道地图边界外会发生什么
EP02: もしかしたら　何もない空間を永遠に落ち続けてるかも | 也许会在空无一物的空间永远坠落
EP02: 追うのはさすがに　リスクが高すぎる | 继续追的风险实在太大了
EP02: いったん　社長に報告しなきゃ | 得先向社长报告
EP02: シーカーのお仲間さんは　みんなあんなふうに怖いんですか | 其他的探索者也都那么恐怖吗
EP02: この街から半日ほど歩いたところに　降臨の祭壇という遺跡があるんだ | 离这座小镇半天路程的地方 有座降临祭坛
EP02: このまま一晩やりすごして | 我们先在这过一夜
EP02: 何もなかったらそこへ行こう | 确认无事发生就朝那出发
EP02: 何があるんですか | 那里有什么吗
EP02: 仲間がいる | 有我的同伴在
EP02: 僕の昔からの仲間 | 我从前的同伴
EP02: #日期 4/21 4/21 4/22
EP02: #负责人 羽贺 羽贺 羽贺
EP02: #种类 音效 敌人 需求 确认
EP02: #优先级 B B B
EP02: #概要 石碑的属性变成了金属 霍伊莫伊龙出现异常行为 变身后的霍伊莫伊龙能被打倒
EP02: #详细 石碑的属性变为金属，用东西敲击会发出金属击打声。※于贤者洞窟附近发现
EP02: #第一章节「灾难的开始」中，出现在萨冈高原的霍伊莫伊龙出现了如下异常。中午时分，沿着村边道路前进的龙被一旁的悬崖地形阻拦，无法移动
EP02: #第一章节「灾难的开始」中，最后登场的变身霍伊莫伊龙能够打倒
EP02: #再现 10/10 5/5 1/1
EP02: #其他 将依序确认其他地区 打倒后村庄毁灭，剧情顺利推进，但以防万一，请确认是否符合设计需求
EP02: #修复确认 已修复 待确认
EP02: #羽贺诚
EP02: #王都贝伊鲁
EP02: #建立在贝伊鲁平原的丘陵区，是王城经济与文化的中心。东部的贝伊鲁山脉是王城的天然屏障，他国想要入侵并非易事。
EP02: #格拉法
EP02: #贝伊鲁王国中普遍信仰的神。掌管大地与慈爱，格拉法神殿供奉有治愈之手，远道而来的朝圣者也络绎不绝。
EP02: OUT

EP03: IN
EP03: 旅に出た僕と　NPCのニコラさんが | 我和NPC妮可拉小姐踏上了旅途
EP03: アダンの街で出会ったのは　同業他社のデバッガー　サカイとスミダ | 在阿旦镇遇到了其他公司的调试员同行 酒井和隅田
EP03: 彼らはデバッグモードを使い　好き勝手にすごしていた | 他们使用调试模式 过着随心所欲的日子
EP03: 力ずくで捕えようとしてきたスミダを | 利用游戏内的BUG
EP03: 僕たちはゲーム内のバグを利用して　撃退したのだった | 我们击败了想要强行前来抓捕的隅田
EP03: あの　ハガさん　これって… | 请问 羽贺先生 我们这是…
EP03: サカイって男が　まだ僕らを狙ってるかもしれませんからね | 那个叫酒井的男人 或许还在追我们
EP03: 警戒を緩めちゃダメです | 不能放松警惕
EP03: 焦らず　慎重に　慎重に | 不要急 谨慎地前进
EP03: はい | 好的
EP03: ハガさん　私　ちょっとわかってきました | 羽贺先生 我有点明白了
EP03: この世界は　なぜかわからないですけど | 这个世界 不知道为什么
EP03: あちこち　不完全なんですね | 到处充满着漏洞
EP03: それを見つけるのが　デバッグというお仕事ってことですよね | 测试的工作就是要把它们找出来吧
EP03: だいたいあってます | 基本没说错
EP03: ハガさんや　ほかのシーカーさんは | 羽贺先生和其他的探索者
EP03: みんな　そのお仕事に使うデバッグストーンを持っていて | 都带着用于测试的调试石
EP03: それには　不思議な力があって | 它有不可思议的力量
EP03: 悪いことをする人たちもいる | 也有人会用它来做坏事
EP03: そうですね | 是啊
EP03: でもハガさんは　その力を使わないんですね | 但是 羽贺先生却不用那份力量
EP03: どうしてなんですか | 为什么呢
EP03: その話は　降臨の祭壇に着いてからでいいですか | 这个问题 等到了降临祭坛再回答你好吗
EP03: はい | 好的
EP03: 降臨の祭壇… | 降临祭坛…
EP03: ハガさんのお仲間がいるっていう場所 | 那里有羽贺先生的同伴
EP03: 新作でございます | 这是新品
EP03: どれどれ | 我尝尝
EP03: ウッマ | 好吃
EP03: ナイスだぞ　モブども | 不错啊 NPC们
EP03: 社長 | 社长
EP03: サカイくん　おはよう | 酒井 早啊
EP03: 昨日は遅かったみたいじゃない | 听说你昨天回来很晚啊
EP03: スミダくんと一緒に　お楽しみだったのかな | 和隅田一起玩得开心吗
EP03: いや　あの　それがですね… | 其实吧 有点事…
EP03: クソ真面目なデバッガーか | 一本正经的调试员吗
EP03: そんなヤツまだいたんだ | 还有那种人在啊
EP03: ってか逃げられてちゃダメでしょ | 话说不能让他逃了吧
EP03: いや　ちょっと油断もしまして | 稍微有点大意了
EP03: 俺が直接行って話してこよっか | 要不我亲自找他谈谈吧
EP03: いや　そこまでは | 不用 没那必要
EP03: ただこのままだと　スミダさんが… | 不过这样下去 隅田先生就…
EP03: いいよいいよ　仕方ない | 没办法 不管他了
EP03: エリア外まで捜すのは　リスク高すぎでしょ | 去地图边界外找风险太高了
EP03: ですよね | 也是啊
EP03: 見つかるまで捜せとか言われなくてよかった | 还好没让我拼命去找
EP03: それよかこれ | 比起那事 看这个
EP03: 新作ですか | 是新品吗
EP03: どよ　１個食べてみ | 怎么样 要不要尝尝
EP03: いただきまーす | 不客气啦
EP03: 甘酸っぱうまー | 酸酸甜甜真好吃
EP03: ガリッシュって実なんだけど　らっきょみてえだろ | 这种果实叫加利修 很像辣韭吧
EP03: 松山のばあちゃんがよく送ってくれてたんだよな | 奶奶经常从松山寄来让我吃呢
EP03: こんなに作っちゃった | 他们做了这么多
EP03: 再現　頑張ってましたもんね | 大家都在努力再现这份味道吧
EP03: 懐かしい現実の味だよね | 令人怀念的现实味道
EP03: では　我々はそろそろ… | 那么我们差不多就…
EP03: でさあ　サカイ | 对了 酒井
EP03: 今からNPCダーツしようと思うんだが | 我突然想玩NPC飞镖
EP03: 一緒にどうだ | 要不要一起
EP03: いいっすよ | 好啊
EP03: 失礼いたします | 先失陪了
EP03: まあ　逃げんなって | 急什么 别走啊
EP03: さってと | 那么
EP03: 先攻は俺からでいいっしょ | 我先来可以吧
EP03: どうぞどうぞ | 请吧 请吧
EP03: いきなりど真ん中 | 一发就正中红心
EP03: いや　ちょいズレだな | 不 稍微偏了点
EP03: さすがさすが | 真厉害 真厉害
EP03: 次は俺の番っすね | 到我了呢
EP03: いや　最近やってなかったからな | 最近都没怎么玩
EP03: なあ　そのデバッガー　ハガつったっけ？ | 我说 那个调试员 是叫羽贺来着？
EP03: はい | 是的
EP03: なんかやっかいなヤツだって気がすんだよな | 感觉是个麻烦的家伙
EP03: 勘だけどさ | 虽然只是直觉
EP03: それは　そうかもっすね | 可能 是这样吧
EP03: この城に来たときふん捕まえるって手もあるけど | 虽然等他来这的时候再收拾也不迟
EP03: トラブルの芽は　早めに摘んどいたほうがいいよなあ | 但是麻烦还是越早解决掉越好
EP03: そうっすねっと | 确实
EP03: 歩いて半日って言ってたのに　３日もたつよ | 明明说只有半天路程 这都三天了
EP03: よし　着いた | 好了 到了
EP03: すごい建物ですね | 好厉害的建筑
EP03: これが「降臨の祭壇」ですか | 这里就是「降临祭坛」吗
EP03: 遺跡なんて　私初めてです | 我还是第一次见到遗迹
EP03: ここの地下ダンジョンに僕の仲間がいます | 我的同伴们都在这的地下迷宫里
EP03: じゃあ　そこに行きましょう　ハガさん | 那我们赶快去吧 羽贺先生
EP03: 待って | 等等
EP03: ちょっと下がっててください | 你先退后一下
EP03: Cパターンか | 是C模式吗
EP03: この先　迷路みたいに入りくんでるんで | 前面的路交叉纵横很容易迷路
EP03: 離れないでくださいね | 你跟紧我别落下
EP03: はい | 好的
EP03: ここは追加ダウンロードコンテンツのダンジョンだから | 这里是DLC追加的迷宫
EP03: 少し意地悪い仕掛けが多くて | 所以有很多恶心人的机关设计
EP03: 伏せて | 快蹲下
EP03: はい | 好的
EP03: これで　ひとまず大丈夫です | 这样暂时就安全了
EP03: トラップ全部先読み　すごい | 居然预判了所有陷阱 好厉害
EP03: やっぱりハガさんは　エリートなんだ | 羽贺先生果然是精英
EP03: 敵の配置が５パターンしかないし | 这座地牢的只有五种配置模式
EP03: 何回も来ているから　完全に覚えちゃってるんだよね | 来的次数多了都背熟了
EP03: ああ　そうそう　壁には触らないでくださいね | 对了 千万不要触碰墙壁
EP03: ランダムに配置されたスイッチが入って | 上面随机设置有机关
EP03: 水が溢れてきますからね | 触发后会有水涌进来
EP03: あと　ここで特に注意してほしいのは… | 还有 在这里千万要注意…
EP03: 金貨だ | 有金币
EP03: すごいぞ | 真厉害呀
EP03: あとは「コインボーイズ」っていうモンスターがいてね | 这里还有种叫「金币小男孩」的怪物
EP03: コインを餌に冒険者を眠らせるんです | 他们会利用金币来催眠冒险者
EP03: 面白いでしょう | 很好玩吧
EP03: あれ　ニコラさん？ | 咦 妮可拉小姐？
EP03: ニコラさん？ニコラさん | 妮可拉小姐？妮可拉小姐
EP03: ニコラさーん | 妮可拉小姐
EP03: 捧げませ　捧げませ | 献上祭品 献上祭品
EP03: ワイキリ様に　捧げませ | 为怀基里大人献上祭品
EP03: 捧げませ　捧げませ | 献上祭品 献上祭品
EP03: ワイキリ様に　捧げませ | 为怀基里大人献上祭品
EP03: ハガさん　やりましたよ | 羽贺先生 快看我的收获
EP03: 捧げませ　捧げませ | 献上祭品 献上祭品
EP03: お金いっぱい | 好多钱
EP03: ワイキリ様に　捧げませ | 为怀基里大人献上祭品
EP03: 捧げませ　捧げませ | 献上祭品 献上祭品
EP03: 捧げませ | 献上祭品
EP03: 大丈夫 | 你没事吧
EP03: はい | 没事
EP03: ハガさん | 羽贺先生
EP03: ニコラさん　間に合ってよかった | 妮可拉先生 还好赶上了
EP03: 無事で何よりです | 你没事就好
EP03: コイツらに捕まると　いけにえイベントが始まっちゃうから | 被这些家伙抓到会触发献祭事件
EP03: ハガさん | 羽贺先生
EP03: 迷惑かけてすみません | 对不起 给你添麻烦了
EP03: 私　お金に目が眩んで | 我被金币冲昏了头
EP03: 本当に本当にごめんなさい | 实在是抱歉
EP03: ニコラさん | 妮可拉小姐
EP03: 大丈夫　大丈夫です | 没事 没事
EP03: 大丈夫…ですから | 我都说…没事啦
EP03: はい | 拿着
EP03: ありがとうございます… | 谢谢你…
EP03: 想像以上に怖い場所なんですね　ここは | 这里比我想象的要吓人啊
EP03: これ以上迷惑にならないように　おとなしくしてます | 以后我会老老实实 不会给你添麻烦的
EP03: えーと　ニコラさん… | 那个 妮可拉小姐…
EP03: あっ　そうだ　ハガさんのお仲間はどこにいらっしゃるんですか | 对了 你的伙伴们都在哪里呢
EP03: このダンジョンにいるって言ってましたよね | 你之前说他们就在这个迷宫里吧
EP03: そこだよ | 就在那
EP03: 君の下 | 在你下边
EP03: 下？ | 下边？
EP03: 仲間の一人　クロちゃん | 这是我的同伴之一 小黑
EP03: 彼は座標移動の途中で地形にハマっちゃって | 他在坐标移动时被卡在地形中了
EP03: どういうわけか　少しずつ沈んでいってる | 不知道什么原因 还在一点点下沉
EP03: もう一人はあそこ | 还有一个在那边
EP03: 見える | 能看见吗
EP03: どういうことですか | 她是怎么回事
EP03: ナミコさんは無敵状態になっているときに　あそこで即死トラップにハマったんだ | 波子小姐在无敌状态下掉进了即死陷阱
EP03: だけど無敵だから | 但因为处于无敌状态
EP03: 回復と死亡の無限ループになっている | 所以陷入了死亡与重生的无限循环
EP03: 引っ張ったり　アイテムを使ったり | 我试着拉过 也使用过道具
EP03: ２人を助けようといろいろ試したんだけど | 为了救他们俩 我尝试了各种方法
EP03: 全く動かないままなんだ | 但一点用都没有
EP03: もう１年近くも | 已经快一年了
EP03: 僕らは…そう | 我们从前…
EP03: もともと５人のチームだった | 原本是五人小队
EP03: 報告は　このデバッグストーンを使って行います | 我们要通过这个调试石进行报告
EP03: IDで紐付けされているから　なくさないように | 它是和ID绑定的 记住不要弄丢
EP03: わかっていると思うけど　デバッグモードは基本的に使用禁止ね | 我想大家应该都明白 调试模式基本是禁止使用的
EP03: ユーザーと同じ条件でやらなきゃ　意味ないからさ | 如果不站在玩家视角 测试就没有意义了
EP03: 最初は何の問題もなかった | 开始时一切都很顺利
EP03: でね　そしたらそしたら | 然后 不得了的事发生了
EP03: こんなでっかいのが出てきてさ | 跳出来个这么大的
EP03: めっちゃビックリしたんだけど | 简直震惊
EP03: で　どうしたの | 是吗 然后呢
EP03: もう　タコ殴りよタコ殴り | 当然是把它揍扁了
EP03: ナミコさんビビッてたじゃん | 你当时肯定吓坏了吧
EP03: ビビッてなんかないよ | 谁害怕了
EP03: ナミコさん　このナンバー２の報告 | 波子小姐 这里的第二项报告
EP03: もう少し概要を短くしないとダメですよ | 概要需要再简洁一些
EP03: ハガちゃんが書き直してくれるんでしょ | 羽贺会帮我重新写的吧
EP03: ありがとう | 感谢
EP03: 出た　ナミコさんの「ありがとう」攻撃 | 出现了 波子小姐的「感谢」攻击
EP03: もう　しょうがないな | 真拿你没办法
EP03: ウソウソ　ウソだってば | 不用不用 我开玩笑啦
EP03: 明日自分でやるから | 明天我自己会写的
EP03: ハガはホント真面目だな | 羽贺真是太认真了
EP03: ホントよ | 就是啊
EP03: クロちゃん　なんで脱いでんの | 小黑 你干嘛把衣服脱了
EP03: せっかくムキムキになったんで　じっくり楽しんでおこうかなっと | 这么美妙的肌肉 我肯定要好好欣赏一番啊
EP03: いや　しかしほんと最高っすね | 这份工作真是太棒了
EP03: 仕事でゲームできるなんって | 居然能在工作时间玩游戏
EP03: クロちゃん　そこ　勘違いしないでくださいね | 小黑 你还是不要搞错了
EP03: 仕事でゲームじゃなくて | 不是在工作时间玩游戏
EP03: ゲームの仕事だよ | 我们是在游戏里工作
EP03: 皆さん　楽しくお仕事されてたんですね | 大家都很喜欢这份工作呢
EP03: そうですね | 是啊
EP03: だけどある日　ジンさんが… | 直到那天 神先生说…
EP03: ログアウトできない | 不能退出游戏了
EP03: ログアウトできないって何 | 为什么不能退出游戏
EP03: 俺らずっとゲームの中に閉じ込められるってことじゃないですか | 我们要一直被关在游戏里吗
EP03: 報告は上がってるんですよね | 报告已经上传了吧
EP03: バグなら　報告を | 是BUG的话 要不要报告
EP03: シートにそのことを記入しても　反応がないんだ | 我在记录里提到了 但没有反应
EP03: 緊急用のコードにも反応がない | 紧急代码也毫无反应
EP03: それをきっかけに　僕とジンさん以外のメンバーが | 从那之后 除了我和神先生
EP03: デバッグモードを使って自由にふるまうようになった | 其他人都开始使用调试模式 随心所欲地行动
EP03: この後　アダンの街までひと飛びして　ランチしない | 等下要不要飞去阿旦镇吃个午饭
EP03: このパラメータいじると　すげえ高く飛べるかも | 说不定调整下这个参数 就能飞更高
EP03: その結果がこれなんだ | 结果如你所见
EP03: クロちゃんは埋まり | 小黑被卡在地里
EP03: ナミコさんは即死と復活の無限ループ | 波子小姐在死亡与重生间不断循环
EP03: スズキさんは空中に消えて帰ってこない | 铃木先生消失在天际再也没回来
EP03: だから僕は… | 所以…
EP03: デバッグモードは絶対に使わない | 我绝对不会使用调试模式
EP03: そっか | 原来是这样
EP03: だからハガさんはすっごく慎重なんだ | 怪不得羽贺先生总是这么小心翼翼
EP03: えっと　ジンさんという方は | 那位神先生呢
EP03: 先に進んでると思う | 他应该进度比我快
EP03: ハガちゃん　僕はいったん　クリアを目指してみるよ | 羽贺 我打算先通关游戏
EP03: それでログアウトできるかもしれない | 这或许能找到退出的方法
EP03: 君はみんなを救出できないか　いろいろ試してみてくれないか | 你能留在这 想办法救救他们吗
EP03: はい　わかりました | 好的 我明白了
EP03: 覚えてるかな　アダンで会ったあの２人が言ってただろ | 你还记得吗 我们在阿旦镇遇到的那两个人说过
EP03: クリアを目指して　シナリオを進めてるヤツらがいるって | 有一群人在推进剧情 打算通关游戏
EP03: じゃあその人たちって… | 这么说 那群人就是…
EP03: ジンさんのことだと思うんだよ | 我想说的就是神先生
EP03: 何人かでパーティーを組んで　旅してるんじゃないかな | 他可能召集了小队 正在四处旅行吧
EP03: 僕は僕で１年近く頑張ったけど | 虽然这一年我也在以自己的方式努力
EP03: 何も解決できなくて | 但却什么都没解决
EP03: だから　僕も先に進むことにしたんだ | 所以我也想先推进剧情
EP03: そうなんですね | 这样啊
EP03: クロちゃん　ナミコさん | 小黑 波子小姐
EP03: 聞こえないかもしれませんが | 不知道你们能不能听见
EP03: クエストを進めるんで　来れなくなると思います | 为了推进任务 我可能有段时间不能来了
EP03: でも　必ず助けに来ますから | 但我一定会来救你们的
EP03: よし　ここを出ましょう | 好了 我们离开这里吧
EP03: ニコラさん　もう危険はないですよ | 妮可拉小姐 已经没有危险了
EP03: ニコラさん？ | 妮可拉小姐？
EP03: これはハガの　こっちはスミダの | 这块是羽贺的 这块是隅田的
EP03: ニコラさん　それは大事な… | 妮可拉小姐 那是很重要的…
EP03: ニコラさん？ | 妮可拉小姐？
EP03: 危ないから　降りて来なさい | 太危险了 快下来
EP03: いや　やっぱりそこにいて　危ないから | 不对 你还是站那别动 太危险了
EP03: どうしてデバッグストーンを | 她为什么要拿走调试石
EP03: それより　村人NPCのニコラさんがあのジャンプ力って | 而且只是村民NPC的妮可拉小姐 怎么能跳那么高
EP03: 作れ | 做饭
EP03: ハラが減った　メシを作れ | 我肚子饿了 给我做饭
EP03: あの　ニコラさん | 那个 妮可拉小姐
EP03: そんなに食べて大丈夫 | 你吃这么多没事吗
EP03: この個体の体力　落ちているぞ | 这具身体的体力正在下降
EP03: もう少し丁寧に扱え | 要照顾得更细心点
EP03: ちゃんと食わせて　睡眠も与えろ | 确保充足的进食与睡眠
EP03: あの　さっきから思ってたんですが | 那个 我刚才就想问了
EP03: ひょっとしてニコラさんじゃないですか | 难道你不是妮可拉小姐吗
EP03: ワシは「メタAI」のテスラ | 我是「元AI」特斯拉
EP03: 今はこのNPCの体を借りている | 现在暂时借用了这个NPC的身体
EP03: 「メタAI」？ | 「元AI」？
EP03: そうだ | 没错
EP03: このゲームのAIは主に３つ | 这个游戏的AI主要有三种
EP03: まず　NPCキャラクターごとに設定された「キャラクターAI」 | 首先是设置在各个NPC角色上的「角色AI」
EP03: 次に　地形データなどの管理を行う「ナビゲーションAI」 | 其次是管理地形数据等的「导航AI」
EP03: そして　ゲーム全体を統括している「メタAI」 | 最后是负责监管整个游戏的「元AI」
EP03: それがワシだ | 那就是我
EP03: なるほど | 原来如此
EP03: でも　どうしてニコラさんに | 但是为什么会在妮可拉小姐身上
EP03: 手近なNPCの中で　貴様と親しくしとるように見えたんでな | 可用的NPC中她看起来和你最亲近
EP03: 気に食わんなら　他のNPCでもいいのだぞ | 你要是看不惯也可以换成别的NPC
EP03: いや　ニコラさんで大丈夫です | 不用 妮可拉小姐就行了
EP03: そうか　ニコラさんを蘇らせたのはメタAIだったのか | 原来如此 复活妮可拉小姐的是元AI
EP03: 細かいことはよい | 不必在意细枝末节
EP03: 要するに　ワシはデバッグを行わずに好き放題している | 简单来说 我要把那些放着测试任务不做
EP03: 愚かなデバッガーどもを　ゲーム内から排除してほしいのだ | 随心所欲的愚蠢调试员们从游戏内消除掉
EP03: 愚かなデバッガー？ | 愚蠢的调试员？
