EP01: IN
EP01: 本当に平気 | 真的不要紧吗
EP02: いくら君でもわかるわけがない | 就算是你也不可能知道
EP02: 学生の時　卒業前のプロムで同級生の… | 你读书的时候 在毕业舞会上把同学的…
EP02: すでに人を３人は殺しているような目で　私をにらまないでください | 请不要用你那像是杀过人的眼神瞪着我好吗
EP02: それ以上続けるのなら　君が４人目の犠牲者になるけれど | 你要是再说下去 就等着变成下一个牺牲者吧
EP02: やめておきましょう | 那还是算了吧
EP02: 事件はちゃんと私が解決する | 我一定会解决案件的
EP02: それは頼もしいですね | 那真是太可靠了
EP02: ジョークじゃない | 我没开玩笑
EP02: 君のぬれぎぬを晴らして　犯人を捕まえる | 我会抓住犯人 洗清你的冤屈
EP02: だから　心配しないで | 所以别担心
EP02: 不安な時にそんなふうに無理しなくていい | 不用强撑着保持镇静
EP02: マーヴィンはあまり人間らしくない | 马文的行为举止和人类大相径庭
EP02: 不出来な弟でした | 是个有缺陷的弟弟
EP02: 最後に会ったのは６年前 | 我最后一次见他是在六年前
EP02: 正直　思い入れがあるとは言えません | 说实话 我对他并没有什么感情
EP02: 我々の兄弟愛は　あなた方のそれとはまた違いますので | 我们兄弟之间的感情 和你们人类之间的不同
EP02: そう | 这样啊
EP02: ただ　何もあのように死ななくてもいい | 不过他那副死相还是过于凄惨
EP02: 時々恐ろしくなりますよ | 我有时也会不寒而栗
EP02: 人間は　心の中に猛獣を飼うのがとても得意なのではないかと | 人类心中孕育的野兽 未免也太过令人生畏
EP02: ああ　今のは言葉のあやです | 抱歉 这只是一个比喻
EP02: あなたが善良な人間だということはわかっています | 我知道你是善良的人类
EP02: 電索官　あとのことはよろしくお願いします | 电索官 接下来就拜托你了
EP02: そろそろ帰りましょうか | 差不多该回去了
EP02: すみません　電話が | 抱歉 我接个电话
EP02: 課長？ | 科长？
EP02: 外で待っていてください | 你到外面等我吧
EP02: 課長？ | 科长？
EP02: ヒエダです | 我是冰枝
EP02: エルフィンストン・カレッジの卒業生を調べていたんだけれど | 我查了下艾尔芬斯顿学院的毕业生资料
EP02: 何か　わかったのですか | 查出什么了吗
EP02: なぜここに | 怎么会在这
EP02: ヒエダ電索官 | 冰枝电索官
EP02: ルークラフト補助官　ヒエダの様子がおかしいわ | 路克拉福特辅助官 冰枝的情况不太对
EP02: 通話が切れて | 她的电话断了
EP02: 電索官が犯人に誘拐されました | 电索官被人绑架了
EP02: 犯人の車のナンバーは… | 对方的车牌号是…
EP02: エチカ・ヒエダ電索官 | 埃缇卡·冰枝电索官
EP02: これを読め | 读一下这个
EP02: 読むんだ | 快读
EP02: 「私は　電子犯罪捜査局のエチカ・ヒエダです」 | 「我是电子犯罪搜查局的埃缇卡·冰枝」
EP02: 「私を解放してほしければ　ハロルド・ルークラフトの…」 | 「如果想救我回去 就将哈罗德·路克拉福特的…」
EP02: 「システムコードを解析してください」 | 「将他的系统代码进行分析」
EP02: 「レクシー・ウィロウ・カーター博士は　国際AI倫理委員会に嘘をついている」 | 「莱克希·薇洛·卡特博士对国际AI伦理委员会说了谎」
EP02: 「RFモデルはとても危険なアミクスです」 | 「RF型是十分危险的AMICUS」
EP02: 「もし　夜明けまでにハロルドの解析が行われなかったら」 | 「如果天亮前还没开始对哈罗德的分析」
EP02: 「私は…」 | 「我可能…」
EP02: 「私は　永遠にあなた方の元には戻らないと考えてください」 | 「我可能就再也回不到你们身边了」
EP02: わかったな | 明白了吧
EP02: 午前６時まで待つ | 我会等到早上六点
EP02: 僕は責任を取る | 我会负起责任的
EP02: レクシー　これで君の負けだ | 莱克希 这下是你输了
EP02: はじめまして　ヒエダ電索官 | 初次见面 冰枝电索官
EP02: あなたがマーヴィンを | 就是你杀了马文
EP02: RFモデルなのに　スティーブではなく　ハロルドでもマーヴィンでもない | 明明是RF型 但不是史蒂夫 也不是哈罗德或者马文
EP02: あなた　何者 | 你是什么人
EP02: 絶縁ユニット　人間なの？ | 绝缘单元 他是人类？
EP02: 君は夜明けまでには解放されるだろう | 估计天亮前你就能重获自由
EP02: 少し飲むといい | 稍微喝点吧
EP02: 「接続ネットワークを検索しています」 | 「正在搜索网络连接」
EP02: 「オンラインに復帰しました」 | 「已连接至可用网络」
EP02: 「位置情報を送信しています」 | 「正在发送位置信息」
EP02: 優しくした僕が馬鹿だった | 我就不该对你这么温柔
EP02: 動くな　エイダン・ファーマン | 不准动 艾丹·法曼
EP02: 遅くなってしまって申し訳ありません | 抱歉我来晚了
EP02: 犯人は　RFモデルじゃなかった | 犯人不是RF型
EP02: 人間だった | 他是人类
EP02: 今は　それよりも | 现在先别管这些
EP02: 君のぬれぎぬは晴れたんだ | 你的冤屈洗清了
EP02: 確かにそうですが　エチカ… | 你说的没错 但是埃缇卡…
EP02: 血が出ています　すぐに手当を | 你流血了 得尽快处理伤口
EP02: 平気だって | 我没事
EP02: ひょっとして　私が位置情報を送るよりも先にここを？ | 难道说 在我发送位置信息前你们就找到这了？
EP02: 地区は絞り込んでいましたよ | 我们锁定到这片区域了
EP02: さすがは君だ | 不愧是你
EP02: ですが　決め手を作ったのはあなたです | 可抓捕成功的关键依旧在你
EP02: 傷を診てもらいましょう | 先去看看伤口吧
EP02: いや　大げさだ　なんともない | 小伤而已 没什么大不了的
EP02: ダリヤさん　峠は越えたのですね | 达莉雅小姐 度过危险期了对吧
EP02: はい | 是的
EP02: それに　ヒエダさんもご無事でよかったです | 冰枝小姐也没事 真是太好了
EP02: エイダン・ファーマン | 艾丹·法曼
EP02: あなたはエルフィンストン・カレッジ卒業後 | 你从艾尔芬斯顿学院毕业后
EP02: 彼女と一緒にノワエ社に入社 | 和她一起进入了诺华耶公司
EP02: RFモデル開発チームの副主任を担っていた | 担任RF型开发团队的副主任
EP02: 博士は　彼が襲撃事件の犯人だとは考えなかったんですね | 博士你没考虑过他是袭击事件犯人的可能性吧
EP02: 君は私を愚かだと思うかもしれないが | 不怕你觉得我蠢
EP02: 本当に少しも考えなかった | 但我确实完全没想到
EP02: それに　彼のことは忘れてたよね | 而且 我其实已经把他给忘了
EP02: そうだね　９年も会ってなかったし | 我想想 毕竟已经九年没见面了
EP02: 通常　アミクスは様々な容姿を掛け合わせて作られますが | 一般来说 AMICUS的外表都是由许多人的样貌合成而来
EP02: RFモデルにファーマンのアピアランスデータをそのまま使った理由は | 为什么RF型却直接使用了法曼的样貌数据
EP02: あなた方は友人関係だと聞いているが | 听说你们俩是朋友
EP02: お互い特別な感情があった | 有过别的特殊感情吗
EP02: まさか | 怎么会
EP02: 彼への敬意のつもりだったり　単純な好み | 既是出于对他的敬意 又是我纯粹的个人喜好
EP02: あの顔は人間にしておくのはもったいない | 那张脸长在人类身上太浪费了
EP02: あなたが博士を虚偽の罪で告発したという記録が残っている | 有记录表明你曾指控过博士造假
EP02: 昔から恨んでいたのか | 你之前就对她怀恨在心吗
EP02: ファーマンは　RFモデル完成前 | 法曼在RF型完成之前
EP02: あなたとの意見の相違を理由に　開発チームを抜けています | 因为与你意见不合 退出了开发团队
EP02: どのようなトラブルが | 是出现了什么纠纷
EP02: まあ　大したことじゃないよ | 倒也没什么大事
EP02: 平凡で退屈な理由だ | 就是些普通又无聊的原因
EP02: 私から見ればね | 起码在我看来是
EP02: エイダン・ファーマンへの電索令状が発行されたわ | 对艾丹·法曼的电索许可下来了
EP02: もしきつかったら　他の電索官にやらせるから | 你要是撑不住 我就换别的电索官来
EP02: 潜れます　問題ありません | 我可以 没有问题
EP02: ヒエダ電索官 | 冰枝电索官
EP02: うんと　昔までさかのぼってくれ | 尽可能地向过去回溯吧
EP02: ルークラフト補助官　準備は | 路克拉福特辅助官 准备好了吗
EP02: いつでも | 随时可以
EP02: ただ　あなたの顔色が芳しくない時は　すぐに引きあげるつもりです | 不过 一旦你脸色不对 我就会立刻拔出安全绳
EP02: ちょっと過保護すぎだ | 你有点保护过头了
EP02: いや | 没什么
EP02: エイダン・ファーマンの電索を開始する | 开始对艾丹·法曼进行电索
EP02: 申し訳ない　傷つけたくはなかった | 非常抱歉 我不想伤害你的
EP02: 一体　僕は何をやってるんだ | 我究竟在干什么
EP02: 必要なことなんだ | 这是必要的
EP02: やらなければいけないんだ | 我必须这么做
EP02: 「外で待っていてください」 | 「你到外面等我吧」
EP02: あの時　私が１人で出なければ | 那时候 如果我不是一个人出去的话
EP02: 誘拐されることもなかったはずだ | 应该是不会被绑架的
EP02: 補助官は　誰からの電話を受けていたんだ | 辅助官他 到底接到了谁的电话
EP02: 「ヒエダです」 | 「我是冰枝」
EP02: 「課長？」 | 「科长？」
EP02: エチカ | 埃缇卡
EP02: 手を握ってあげる | 握住我的手
EP02: ない | 没有
EP02: まだか　まだなのか | 还没有 怎么还没有
EP02: どうして報道されない | 为什么没有人报道
EP02: レクシー | 莱克希
EP02: RFモデルのアミクスが敬愛規律に背いて　人間を撃った | RF型AMICUS违反敬爱规范向人类开枪了
EP02: どういうことだ | 怎么回事
EP02: 今になって… | 事到如今才…
EP02: レクシー… | 莱克希…
EP02: 犯行のきっかけは　例のタブロイド紙 | 那张小报 应该就是犯罪动机
EP02: あの記事を見て　レクシー博士の失墜に利用できると考えたのでしょう | 想必是看了那篇报道 想趁此机会让莱克希博士名声扫地吧
EP02: どうなさいました | 有什么问题吗
EP02: 彼はレクシー博士を恨んではいない | 他对莱克希博士没有恨意
EP02: 被害者に対する感情も　連続襲撃自体が目的ではない | 对待被害人的态度 也能证明他的目的不在连续袭击
EP02: なんというか… | 该怎么说呢…
EP02: 責任感に近い感情から事件を起こしているように思える | 更像是出于一种责任感般的情感而进行的作案
EP02: もっとさかのぼったほうがいいかもしれない | 可能需要继续往前追查
EP02: 先に精神分析に回してはいかがでしょうか | 可不可以先对他进行精神分析
EP02: 電索官　久しぶりに「逆流」を起こしていらっしゃいましたが | 电索官 你已经很长时间都没有遇到过「逆流」了
EP02: やはり調子が | 还是状态不好吧
EP02: 平気だ　寝不足で具合が悪いだけ | 没事 只是睡眠不足有点累罢了
EP02: で　彼は元気なの | 所以 他还好吗
EP02: 体調は正常ですが　念のため精神分析を申請しました | 生命体征很正常 谨慎起见也申请了精神分析
EP02: 明日の朝　医療センターに移送します | 明天早上会将他转移到医疗中心
EP02: 精神分析？ | 精神分析？
EP02: 確かに　ちょっと真面目すぎて不気味なところがあったけれど | 确实 他有时的确会正经得让人害怕
EP02: まさかそこまでとはね | 没想到居然这么严重
EP02: 博士　彼とは… | 博士 你们之间…
EP02: 本当はもっと親密な間柄だったりはしませんか | 真的没有更进一步的关系了吗
EP02: ないない | 没有没有
EP02: 強いて言うのなら親友かな | 硬是要说的话或许算得上好友吧
EP02: 彼くらいだったんだよね　私と対等に話せるのは | 能和我对等地聊上两句的 也就只有他了
EP02: まっ　決裂しちゃったけどね | 不过已经决裂了就是
EP02: 元気ならいいんだけれどさ | 总之他没事就好
EP02: もう帰るよ | 我先回去了
EP02: 明日からはマーヴィンの捜査にも協力しなきゃいけないし | 明天还要协助他们搜查马文呢
EP02: 電索官　先ほどの博士への質問の真意はなんですか | 电索官 刚才你为什么要问博士那个问题
EP02: いや　個人的な確認 | 没什么 我有些疑惑想确认
EP02: そうですか | 是吗
EP02: 本当は気づいていたんでしょう | 你当时其实注意到了吧
EP02: ファーマンが私たちを尾行していたことを | 法曼在跟踪我们
EP02: 君は彼を逮捕するために私をおとりにした | 你为了逮捕他 拿我做了诱饵
EP02: 何をおっしゃるのです | 什么意思
EP02: 端末の通話履歴を見せて | 给我看看你的设备通话记录
EP02: あの時パブで君の電話は鳴らなかった | 当时在酒馆 你的电话并没有响
EP02: 私を孤立させるために嘘をついたんだ | 你为了让我落单而撒了谎
EP02: わかりました　認めます | 你说得对 我承认
EP02: 確かに私は　あなたをおとりにしました | 我确实是拿你当诱饵了
EP02: どうか　これだけは弁解させてください | 但是 这一点请一定要听我解释
EP02: そもそも　あなたを危険にさらすことは　私の敬愛規律が許しません | 而且有敬爱规范存在 我根本不可能故意让你处于危险中
EP02: 私は　ファーマンをおびき寄せ | 我只是想引诱他出来
EP02: あくまでもあなたに逮捕してもらうつもりだった | 好让你逮捕他而已
EP02: ですがあの時の私は　別のことに気を取られていて | 只不过当时 我被其他东西吸引了注意
EP02: だとしても　君が私をおとりに使ったことは変わらない | 就算是那样 你把我当做诱饵这事依然是事实
EP02: ええ　そのとおりです | 你说得没错
EP02: 申し訳ありません　二度とこんなまねは | 非常抱歉 以后我不会再这样了
EP02: 私は　君と対等な相棒になれるかもしれないと思っていた | 我还想着或许能和你成为平等的搭档
EP02: だけど　君はやっぱりアミクスだ | 但你终究还是AMICUS
EP02: 君の思考は　最も効率いい方法を機械的に求めるようにできている | 你的所思所想 全都机械地追求着效率
EP02: どうせまた同じことをやるよ | 你一定还会做出相同的事
EP02: どうか聞いてください　私は… | 请你听我说 我已经…
EP02: ごめん　少し気持ちを整理したい | 抱歉 我想稍微整理一下情绪
EP02: ダリヤさんのお見舞いには　悪いけど１人で行って | 请你一个人去看望达莉雅吧
EP02: #黑箱
EP02: #注：人工智能模型计算的过程复杂且不透明，故称之为「黑箱」
EP02: #注：用于强制让YOUR FORMA进入离线状态
EP02: #敬爱规范
EP02: #尊重人类
EP02: #听从人类的命令
EP02: #绝对不能攻击人类
EP02: #RF型袭击案关于凶器上的标志
EP02: #诺华耶机器人科技总公司
EP02: #特别开发组 组长
EP02: #次世代型通用人工智能『RF型』开发团队主任
EP02: #莱克希·薇洛·卡特
EP02: #环境模拟机器人
EP02: #黄星绿小灰蝶
EP02: #电子犯罪搜查局伦敦分局
EP02: #机器人清洁公司乐维尔
EP02: #保养科员工
EP02: #艾丹·法曼
EP02: #电子犯罪搜查局伦敦分局
EP02: #罗斯辅助官
EP02: #AMICUS谋杀了人类！
EP02: OUT

EP03: IN
EP03: 機械仕掛けの友人　アミクス・ロボット | 机械朋友 AMICUS·ROBOT
EP03: 人型ロボットの総称 | 人型机器的统称
EP03: アミクスには敬愛規律が刷り込まれている | 所有的AMICUS都写入了敬爱规范
EP03: 人間を尊敬し | 尊重人类
EP03: 人間の命令を素直に聞き | 听从人类的命令
EP03: 人間を絶対に攻撃しない | 绝对不能攻击人类
EP03: 私は　一体何を間違えた | 我到底做错了什么
EP03: 「ごめん　少し気持ちを整理したい」 | 「抱歉 我想稍微整理一下情绪」
EP03: 「ダリヤさんのお見舞いには　悪いけど１人で行って」 | 「请你一个人去看望达莉雅吧」
EP03: ヒエダ電索官 | 冰枝电索官
EP03: エイダン・ファーマンが逃亡した | 艾丹·法曼逃走了
EP03: ファーマンを医療センターへ移送中 | 在将法曼运往医疗中心的途中
EP03: 警備アミクスの自動運転システムが誤作動に見舞われ　事故を起こしました | 警卫AMICUS的自动驾驶系统出现故障 引发了事故
EP03: 捜査員から拳銃を奪ったファーマンは　シェアカーで逃走 | 法曼抢走了搜查员的手枪 驾驶共享汽车逃走了
EP03: 足取りを追跡中です | 我们正在追查犯人的行踪
EP03: どうしてこんな | 为什么会这样
EP03: ノワエ社による簡易検査で　運転モジュールの設定が改造されていると判明しました | 诺华耶公司的初步调查显示 他们的驾驶模块设定被改造了
EP03: あらかじめ　警備アミクスが誤作動するように仕掛けていたというのですか　ファーマンが | 也就是说法曼提前修改了设定 让警卫AMICUS出现故障吗
EP03: １人では無理だ　協力者がいるかも | 一个人很难做到 可能还有同谋
EP03: ファーマンの電索では　協力者の存在は見受けられませんでしたが | 根据法曼的电索结果 我认为应该没有同谋
EP03: ファーマン自身に聞くのが一番早そうね | 直接问本人来得最快
EP03: 最優先で　彼の身柄を確保して | 接下来以抓捕法曼为最优先事项
EP03: コッツウォルズは　その全域が指定通信制限エリア | 科茨沃尔德全域均为指定通信限制区
EP03: ファーマンが身を隠すには都合がいい場所ですね | 正适合法曼藏身啊
EP03: 住人の多くが機械否定派で　通信網が遮断されている | 大部分居民都是机械否定派 网络也被屏蔽了
EP03: 彼の位置情報は　この辺りで途絶しています | 他的位置信息到这附近就中断了
EP03: 恐らく絶縁ユニットを手に入れたのでしょう | 估计是拿到绝缘单元了吧
EP03: 車はそれからここ　コッツウォルズ近くのウィットニーで | 随后共享汽车途经科茨沃尔德附近的威特尼
EP03: 指定通信制限エリアに入り | 进入指定通信限制区
EP03: 以降の足取りは不明 | 之后便行踪不明了
EP03: どうでした | 怎么样
EP03: この村も　ここまでの町や村と同じだ | 这个村子也和之前的村镇一样
EP03: こちらもです | 我这边也是
EP03: ファーマンも車も　目撃情報はありません | 没有打听到法曼和汽车的目击信息
EP03: そう | 这样啊
EP03: 成果は上がりませんでしたが | 虽然没有成果
EP03: この村に来られた我々は運がいいですよ | 但能来到这个村子 我们的运气也不坏
EP03: バイブリーは　かのウィリアム・モリスが「イングランドで最も美しい」とたたえた村です | 威廉·莫里斯曾称赞拜伯里村是「英格兰最美丽的村庄」
EP03: 確かに　見事な景観だね | 确实是如画一般的风景
EP03: 電索官　こんなことを言うのは差し出がましいと承知していますが | 电索官 我知道这么说有些自找没趣
EP03: 私に謝る機会を与えてくださいませんか | 能给我一个道歉的机会吗
EP03: ほら　早く | 快点
EP03: 謝らなくていい | 你不用道歉
EP03: 君がダリヤさんのことで焦っていたのはわかってる | 我理解你因为达莉雅小姐受伤而心急如焚
EP03: ですが　あなたは私を許してくださっていない | 但是你并没有原谅我
EP03: そういうわけじゃない | 不是这样的
EP03: その… | 其实…
EP03: レクシー博士が　RFモデルはブラックボックスの範囲が広いと言っていた | 莱克希博士说RF型的黑箱范围很广
EP03: そして　それが人格的な成長を可能にしているって | 并且 这使得你们的人格成长变为可能
EP03: 君が私と同じ思考プロセスで物事を考えていないのは　理屈ではわかる | 我在理性上能理解你和我思考事物的过程不一样
EP03: でも　君は本当に　人間らしいから | 但你实在是太像人类了
EP03: 知らず知らずのうちに　人間と同じ価値観を求めてしまっていたんだ | 不知不觉间 我开始在你身上追求与人类相同的价值观
EP03: つまり　信頼して　頼ってほしかった | 就是说 我希望你能信任我 依靠我
EP03: 対等なパートナーだと思われたかっただけ | 把我看作一个平等的伙伴
EP03: 電索官… | 电索官…
EP03: あなたを傷つけてしまったことを　ひどく後悔しています | 之前让你受伤一事 我真的非常后悔
EP03: 私はもっと　君のことを理解しなくちゃいけないんだろうね | 我也应该更努力地去理解你吧
EP03: 君の心をのぞけたらいいのにとつくづく思うよ | 我时常会想 要是能直接窥探你的内心就好了
EP03: 電索で潜るみたいに | 就像电索时那样
EP03: 私もあなたに潜れたら　どんなにいいか | 我也多么希望能了解你的内心世界啊
EP03: 君はとっくに私のことを理解しているはずだ | 你应该早就已经看透我了吧
EP03: 姉さんの時だって… | 就像姐姐的事…
EP03: そういう意味ではありません | 我不是这个意思
EP03: もっと… | 我是想…
EP03: いいえ　うまく伝えられそうにない | 抱歉 我也说不清楚
EP03: 行きましょう　電索官 | 我们走吧 电索官
EP03: 固定電話を貸してくれる場所を見つけてあります | 我找到了愿意借我们固定电话的地方
EP03: はい | 是
EP03: 特に収穫はありません | 没什么线索
EP03: こちらも同じね | 我们也一样
EP03: 捜索部隊　検問　全ての道を押さえるには人手が足りていない | 搜查队的人手不足 没法在每条路上设路卡
EP03: この近辺をもうしばらく捜索してみます | 我们会在这附近继续搜索一段时间
EP03: またのちほど | 之后联系
EP03: ビガの電話番号を表示して | 显示比加的号码
EP03: 「了解しました」 | 「明白」
EP03: えっと　こう　だよね | 我看看 是这么用的吧
EP03: まだるっこしいな | 真难用啊
EP03: すみません　ヒエダさん　こっちも何もつかめてなくて | 抱歉冰枝小姐 我这边也什么都没查到
EP03: いいの　電話は大丈夫 | 没关系 现在方便通话吧
EP03: 父は今　お風呂に入ってます | 爸爸这会在洗澡
EP03: この回線は暗号化されてますから　大丈夫です | 这条电话线加过密 不用担心
EP03: まだ　あたってないラッダイトのコミュニティーがいくつかあるので | 还有几个勒德分子的组织我没联系过
EP03: 接触してみます | 我再想办法问问
EP03: 民間協力者として捜査局と契約したといっても | 虽说你是和搜查局签约的民间协助者
EP03: 無理しないよう　十分気をつけて | 但也不要勉强 万事小心
EP03: はい　ヒエダさんも気をつけて | 好的 你也多加小心
EP03: その　ハロルドさんにもよろしくお伝えください | 另外 帮我向哈罗德问个好
EP03: うん　ありがとう | 好 谢谢你
EP03: さて　どうしたものか | 接下来该怎么办呢
EP03: とてもかわいらしいですよ | 这个很可爱吧
EP03: 売り物でしょ　元に戻して | 这是人家的商品吧 快放回去
EP03: 支払いは済ませました | 我已经付过款了
EP03: あなたに差し上げます | 想把它送给你
EP03: 抱きしめると　穏やかな気持ちになれるかもしれませんよ | 把它抱在怀里 应该能安心一点
EP03: いや　いい | 谢谢 不用了
EP03: 遠慮なさらず | 不用客气
EP03: 遠慮してない | 我没在客气
EP03: どうです　いい感触でしょう | 怎么样 摸起来很舒服吧
EP03: 確かに　天然の羊毛がもっちり | 确实 天然羊毛软乎乎的
EP03: じゃない　いい加減にして | 哎呀 别闹了
EP03: 観光に来てるわけじゃないんだから | 我们不是来旅游的
EP03: その　ビガが　君によろしくって | 对了 比加说想跟你问个好
EP03: 彼女は本当にいい方ですね | 她可真是温柔
EP03: そうです　ぬいぐるみを買っていってあげましょう | 对了 给她也买一个玩偶吧
EP03: なんでぬいぐるみ限定なの | 为什么光买玩偶
EP03: 電索官 | 电索官
EP03: 次は家を買いたいとでも言うつもり | 你不会要说想买套房吧
EP03: 恐らくですが　ファーマンの居場所を割り出せたように思います | 这只是猜测 但我或许知道法曼在哪里了
EP03: 次が最後の場所です | 最后一个地方了
EP03: どうしてファーマンが別荘地に潜んでいると推測したのか | 为什么你会推测法曼躲在别墅区里
EP03: そろそろ理由を聞かせてくれない | 差不多该告诉我理由了吧
EP03: この周辺の別荘地について　以前聞いたことがありまして | 我以前听人说过关于这片别墅区的事
EP03: 誰に　何を | 谁说的 说了什么
EP03: それは　ファーマンが本当に見つかったら　その時にお話しします | 等真正找到法曼后 我再告诉你
EP03: 誰もいなさそう | 好像没人
EP03: もし　ファーマンが見つからなければ | 要是没找到法曼
EP03: 私の推理が外れたことになります | 就说明我的推理出了问题
EP03: もしくは　補助官の推理が先回りをしたか　だね | 否则 就说明你的推理快他一步
EP03: だから　君が推理を外すことなんてそうないでしょ | 毕竟 你的推理很少出错
EP03: 確かに　捜査ではまれですが | 在调查中确实是的
EP03: あなたに関しては　頻繁に推測を外していますよ | 但关于你的推理 却很少有中的时候
EP03: どういう意味 | 什么意思
EP03: 電索官 | 电索官
EP03: あなたがおっしゃったとおり | 看来你说中了
EP03: やはり私の推理が先回りをしたようだ | 我的推理要比他快上一步
EP03: 逃走車両とナンバーが一致しています | 车牌号和逃亡车辆相同
EP03: 電索官　追います | 电索官 我们追
EP03: 待って | 等等
EP03: 君は安全運転しかできない | 你只会循规蹈矩地开车吧
EP03: 私が運転する | 换我来
EP03: 電索官　無茶です | 电索官 这太胡来了
EP03: 電索官 | 电索官
EP03: しっかりつかまって | 抓紧了
EP03: このまま真っすぐです | 继续直走
EP03: よく見えないけど | 我看不太清
EP03: 大丈夫です　私の目には暗視機能が付いていますから | 没关系 我的眼睛带有夜视功能
EP03: 少し右に向かってください | 稍微往右一点
EP03: 電索官が体当たりしたおかげですよ | 多亏电索官撞了上去
EP03: 漏れたエンジンオイルから追跡できる | 我们才能靠泄漏的机油接着追踪
EP03: それは皮肉？ | 你在讽刺我？
EP03: とんでもない　本心ですよ | 怎么会 我是真心的
EP03: 止めてください | 请停车
EP03: エンジンオイルとは違うにおいが | 这味道闻着不像是机油
EP03: 循環液？ | 循环液？
EP03: そのようですね | 看起来是的
EP03: ここにも付着しているみたいです | 这里也沾上了
EP03: どういうこと | 怎么回事
EP03: 運転手はファーマンのはずでしょ | 开车的应该是法曼吧
EP03: 私にも状況がのみ込めませんが | 我也搞不清楚状况
EP03: 注意してください　ファーマンは銃を持っています | 小心一些 法曼身上带着枪
EP03: 補助官 | 辅助官
EP03: どうして | 为什么
EP03: 私たちは誰を追っていた | 我们刚刚追的是谁
EP03: あれは恐らく　機憶工作用のHSBです | 那恐怕是伪造机忆用的HSB
EP03: 何があったか　本人に聞くのが手っ取り早いかと | 时间紧迫 直接问本人发生了什么吧
EP03: ファーマン | 法曼
EP03: あなたは捜査局の警備アミクスを改造して　逃走したはずだ | 你本应是改造搜查局的警卫AMICUS后逃走了
EP03: 一体ここで何があった | 这里究竟发生了什么
EP03: 薬を盛られているのかもしれない | 他可能被下药了
EP03: 急いで病院まで連れて行こう… | 赶紧带他去医院…
EP03: 補助官 | 辅助官
EP03: 循環液　アミクス？ | 循环液 AMICUS？
EP03: 死んだはずだ | 你应该已经死了
EP03: なぜ | 为什么
EP03: マーヴィン・アダムズ・オールポート | 马文·亚当斯·奥尔波特
EP03: 撃たないでください | 请别开枪
EP03: 確保して　メモリを解析するべきです | 我们应该抓住他 读取他的记忆
EP03: 電索官… | 电索官…
EP03: ごめん　その　腕を狙おうとして | 抱歉 我本来是想打胳膊的
EP03: いいえ | 不
EP03: 判断を誤ったのは私のほうです | 是我判断有误
EP03: あの状況では… | 那种情况下…
EP03: これを確保すること自体に無理がありました | 想抓住他是不可能的
EP03: そうじゃない | 不是因为这个
EP03: 君の兄弟なはずだ | 他可是你的兄弟
EP03: もし本物なら | 如果是本人的话
EP03: 確かに本物です | 确实是他
EP03: 彼がファーマンを監禁していたの？ | 是他监禁了法曼？
EP03: テムズ川の死体は偽物だったということ？ | 这么说 泰晤士河的尸体是假的？
EP03: 状況はいくつか考えられますが… | 可能的情况有很多…
EP03: エチカ | 埃缇卡
EP03: すまないね | 对不住了
EP03: 電索官 | 电索官
EP03: どこにも逃げられませんよ | 你逃不掉的
EP03: ミスタ・ファーマン | 法曼先生
EP03: ミスタ | 先生
EP03: 拘束するだけだ | 我只是把她绑起来而已
EP03: 私が認めるとお思いですか | 你认为我会放任你吗
EP03: アミクスの君には止められないだろう | 你一个AMICUS也没法阻止我吧
EP03: 僕が彼女に何をしようと　ただそこで見ていることしかできない | 无论我要对她做什么 你也只能呆站在那里看着
EP03: 人間を攻撃してまで制止することはできない | 你没法为了阻止我而攻击人类
EP03: それともできるのかい？ | 还是说你可以？
EP03: マーヴィンにした以上のことを僕に | 像对马文那样对我
EP03: ハロルド　君は賢明なようだ | 哈罗德 看来你很明智
EP03: 捜査局は僕の行動をレクシーへの恨みからだと考えているようだね | 搜查局似乎认为我的行动是出于对莱克希的怨恨
EP03: ヒエダ電索官はそうは考えていません | 冰枝电索官不是这么想的
EP03: あなたの機憶を通じて　何かが違うと気づいている | 她通过你的机忆 察觉到了些许不对
EP03: だが彼女は僕の頼みを聞き入れなかったね | 但是她并没有听取我的请求
EP03: 古い機憶までさかのぼれと言ったのに | 明明让她去回溯过往的机忆了
EP03: 電索には様々な規定がありますので | 电索是有很多规定的
EP03: あなたの目的は理解しています | 我理解你的目的
EP03: 僕は君の頭の中を知ってる | 我知道你的脑子里面是什么
EP03: 君は自覚していないかもしれないが　RFモデルは危険だ | 你可能没有自觉 但RF型是很危险的
EP03: レクシーは　僕やノワエ社だけでなく | 莱克希她 不止骗了我和诺华耶公司
EP03: 倫理委員会にまで嘘をついた | 甚至连伦理委员会也被蒙在鼓里
EP03: 君さえよければ　協力してくれないか | 如果你愿意的话 可以协助我吗
EP03: できません | 做不到
EP03: 私は電子犯罪捜査局の所属です | 我隶属于电子犯罪搜查局
EP03: 彼女の拘束を許したのは | 之所以允许你束缚她
EP03: あなたを攻撃する以外に止める方法が見当たらないからだ | 是因为我找不到武力之外能制止你的方法
EP03: あなたに賛同したわけではありませんよ | 并不是因为我认可你的行为
EP03: なら　やはりこうしよう | 看来 还是得来硬的
EP03: すまない | 对不住了
EP03: ２人でドライブに行こう | 我带你去兜兜风吧
EP03: 君のシステムコードを解析しなければならない | 我必须要对你的系统代码进行分析
EP03: まったく　なんてざまだ | 真是的 搞得这么狼狈
