EP01: IN
EP01: おっす | 早
EP03: 実はかんべぶち込まれてました | 后来才知道是进了局子
EP03: チャンチャン　みたいなこと絶対ないんだろうね | 这种事无论如何都不会发生吧
EP03: 最高じゃん　お幸せに | 真好啊 祝你们幸福
EP03: ないよ　普通　ないんだよ | 不 一般都不会发生这种事
EP03: 平って　映画とか見る方 | 平喜欢看电影吗
EP03: 映画は好きだけど | 挺喜欢的
EP03: 映画館は客がガチャだから苦手だわ | 但电影院的观众太吵了 我不喜欢
EP03: それ　ガパチョも言ってたわ | 河童也这么说过
EP03: 俺　今やってる魔女とふわふわのやつ見に行きたいんよ | 我想去看现在上映的魔女和小毛球那部
EP03: 似合わねえ | 不像你会看的
EP03: いや　でもさ　分かんなくもないけど | 虽说我也不是不能理解
EP03: 鈴木の声 | 铃木的声音
EP03: 人によるじゃない　やっぱ | 说到底 还是看人吧
EP03: でかいなあ | 好大声
EP03: いや　もうほんと　私クズしか好きになれんのよ | 相信我 我真的只对渣男感兴趣
EP03: 第一印象「あっ」ってなる人　みんなクズ | 我能一眼看上的都是渣男
EP03: 朝からなんつぅ会話してんだ | 大早上的聊什么呢
EP03: アズがどうしたら幸せな恋愛をできるかについて話しております | 在聊东怎样才能收获幸福的恋爱
EP03: 誠実な男からうまみを感じられないんだよね | 从本分的男人身上感受不到魅力啊
EP03: もうダメだろ　こいつ | 这家伙没救了吧
EP03: 女子って　ヤンキー好きよな | 女生都喜欢坏小子吧
EP03: 美人な子ほど　２個上ぐらいのヤンキーとつきあうじゃん | 漂亮的女孩都喜欢跟大自己两岁的坏小子交往
EP03: あれ　なんで | 为什么会这样
EP03: あんたの中学の思い出だろ　それ | 这是你初中的回忆吧
EP03: いや　でも　正直 | 不过 说实话
EP03: ちょっと　悪い雰囲気ある人に　カッコイイって惹かれる気持ち | 那种带点小坏的男生的确很帅 特别吸引人
EP03: 分かっちゃうんだよな | 这种感觉我超懂
EP03: 鈴木　スダケン好きだもんね | 铃木很喜欢菅田健呢
EP03: 要はお前ら　ヒエラルキーで選んでんだろ　結局 | 说白了 不就是按等级来选对象吗
EP03: 相手の内面じゃなくて　ポジションで見てんだよ | 不看内在 而是看对方的地位
EP03: 「上位グループにいる人間とつきあってる自分」になりたくて | 想方设法和上层圈子的人建立关系
EP03: 「こいつの隣にいる自分」を誇りたいんだよ | 用对方的地位满足自己的虚荣心
EP03: スダケン　ときめく | 菅田健 太帅了
EP03: くだらねえ | 无聊至极
EP03: また言ってる | 又开始了
EP03: おい　鈴木　んなこと言ってていいんか | 喂 铃木 你说这些合适吗
EP03: 谷　来てっけど | 谷 已经来了
EP03: 谷くん　おはよう | 谷同学 早上好
EP03: おはよう | 早上好
EP03: アホだ | 真傻
EP03: 谷くん　今の聞いてた | 谷同学 刚才的你听到了吗
EP03: 聞こえてたけど　別にいちいち気にしないから | 听到了 但我没放在心上
EP03: 鈴木　カワイイな | 铃木真可爱
EP03: おもろいの方が勝つけどな | 还是有趣更多一些
EP03: 私も | 同意
EP03: なに　どういうこと | 这是怎么回事
EP03: あいつら　つきあってる | 他们在交往
EP03: はあ | 什么
EP03: ってか　なんでみんな普通 | 话说 怎么大家都没反应
EP03: すんなり受け入れてるけど | 这么轻易就接受了吗
EP03: まず　最初に思うのこれだろ… | 不过应该最先考虑的…
EP03: 鈴木　谷でいいのか | 铃木 跟谷交往就满意了吗
EP03: いや　だって　谷って… | 毕竟 谷可是…
EP03: 鈴木の理想と現実　かけ離れ過ぎだろ | 铃木的理想和现实 差得也太远了吧
EP03: おっす　谷おはよう | 哟 谷 早上好
EP03: おはよう | 早上好
EP03: お前はなんでそんな初めからダチでしたみたいなテンションでいけるんだよ | 你到底是怎么做到一上来就熟络得跟好哥们似的
EP03: これ　映画の | 这是电影里的
EP03: 私はこっち | 我的在这
EP03: 匂わせてんじゃねえ | 别秀恩爱了
EP03: 匂い？ | 秀恩爱？
EP03: そういえば　鈴木　写真は | 对了 铃木 照片呢
EP03: ト…トッテナイヨ | 没…没拍哦
EP03: うそだな | 说谎
EP03: 写真？ | 照片？
EP03: 谷くん　しっ | 谷同学 嘘
EP03: ええ　見たい | 我想看
EP03: 見して　見して | 看一眼 看一眼
EP03: マジか | 真的假的
EP03: 暑い | 好热
EP03: 自販機… | 自动售货机…
EP03: おっす　平 | 嘿 平
EP03: うっす | 嗨
EP03: ごめん「リアリティゴールド」のストロングなら　今のがラス１ | 抱歉「REALITY GOLD」的加强版被我买光了
EP03: そんなジャンクなもん　飲まん | 我才不喝这种垃圾饮料
EP03: ああ　おいしいのに | 是吗 明明很好喝啊
EP03: あのさ　鈴木 | 我说 铃木
EP03: なんで　谷なの | 你为什么选了谷
EP03: 「俺にしとけよ」 | 是问我怎么没选你吗
EP03: 違う　違う | 不是不是
EP03: ゾッとすな | 别恶心我
EP03: いや　ほら　鈴木ってさ | 因为铃木你
EP03: 山田とか渡辺みたいな　根明と違って | 和山田 渡边那种乐天派不一样
EP03: 空気読みっつうか | 你会察言观色
EP03: 周りの目　気にする系じゃん | 会在意别人目光吧
EP03: そんなふうに思ってたんか | 原来你是这么看我的吗
EP03: ああいう　毛色が違うタイプとつきあうの　意外 | 你选择跟性格相反的人交往 我还挺意外的
EP03: 正直　気にしてたよ　ずっと | 说实话 我一直很在意这些
EP03: 周りとのバランスとか | 在意身边关系的平衡
EP03: 自分がどう思われてるかとか | 在意自己在他人眼中的形象
EP03: けど　自分がそんなんだから　逆になのかな | 但或许正因为我是这样的性格
EP03: 谷くんみたいに　自分がぶれない人がカッコよく見えちゃうんだよね | 反而觉得谷同学那样 能够坚持自我的人很酷吧
EP03: で… | 所以…
EP03: えっと… | 那个…
EP03: こののろけ　ちゃんと話すと　あと２時間ぐらい続くけど　いい | 展开说的话可能还要两个多小时 你有时间吗
EP03: 勘弁して　糖分過多で吐くわ | 算了吧 吃太多糖我会吐的
EP03: 窓際　暑 | 窗边好热
EP03: 一度　やってみたかったんだ | 我早就想这样做了
EP03: びっくりした | 吓到你了吗
EP03: びっくりした | 吓到了
EP03: ほんまかいな | 真的假的
EP03: カップルがよくやるやつ | 刻板印象里的情侣互动
EP03: 飲み物買ってきたんだけど　どっちがいい | 我买了饮料 你要哪个
EP03: ストロングかミニ | 加强版还是小罐
EP03: なんで「リアゴ」一択なんだよ | 为什么只有「REALITY GOLD」
EP03: こっち | 小罐吧
EP03: でしょうね | 果然
EP03: いくらした | 多少钱
EP03: いらないよ　このぐらい | 这点钱无所谓啦
EP03: いや　でも… | 但是…
EP03: もう　律儀だなあ | 你太较真了
EP03: 毒なのに聞いてしまう | 好伤人 我在偷听什么啊
EP03: じゃあ　３円 | 那就 3块
EP03: レジ袋じゃないんだから | 又不是塑料袋
EP03: 仲よろしいこって | 关系真好啊
EP03: 鈴木　戻ってんじゃん | 铃木回来啦
EP03: なに | 干嘛
EP03: 凍らせたスポドリ　全然とけないから | 运动饮料半天都不化冻
EP03: あらゆる硬い所たたいて回ってんの | 我就找硬的地方到处磕
EP03: 破壊神みたいなことしないで | 别到处搞破坏了
EP03: 鈴木 | 铃木
EP03: 今度はなんだ | 又怎么了
EP03: 宿題見せて | 让我抄下作业
EP03: またか　最近多すぎ　自分でやれ | 又来 最近老是这样 自己做去
EP03: 谷 | 谷
EP03: こら | 喂
EP03: 私には聞かない感じ | 就不问问我吗
EP03: まあ　一応やってきてるけど | 我倒是做了
EP03: 早速　いいように使われてんじゃん | 这么快就开始听人使唤了
EP03: 自分のためにならないけど　いいの | 这么做对你没好处 你还要抄吗
EP03: 俺は助かるけど | 对我很有帮助啊
EP03: バカ　話の意図をくみ取れ | 笨蛋 你都没听明白意思
EP03: 鈴木はちゃんと　谷自身を見ていて | 铃木有认真观察 了解过谷
EP03: 周りは鈴木の選択だから　否定しない | 周围的人也尊重她做出的选择
EP03: こらこら　こらこら　ダメだ… | 停下停下 不行…
EP03: 誰かの評価を気にしたりなんて　誰も | 这里没有人在意别人的评价
EP03: ダメだよ | 不行
EP03: 自分でやれよ　ほんとに | 自己做去 真是的
EP03: もう　こらこら | 别闹了 停下
EP03: そっか | 原来是这样
EP03: なんとなく分かってしまった | 我大概明白了
EP03: 今まで視界に入ってなかったヤツが　急に認められたように感じるもやもや | 从未关注过的人突然得到了周围认同 这令我感到烦躁
EP03: 認めてたヤツが妥協したように思えるつまらなさ | 认定别人对其的认可不过是妥协 是无趣的体现
EP03: 俺が他人の言動や立ち位置やランクがやたらと気になってしまうのは | 我之所以如此在意别人的言行举止 立场等级
EP03: 自分視点の基準がないからだ | 是因为没有自己的评价标准啊
EP03: 平　どうしたん | 怎么了 平
EP03: ちゃんと自分があるヤツは　他人の変化で揺らいだりしない | 真正拥有自我的人 不会因他人的变化而动摇
EP03: 他人と自分を切り離せてる | 能将他人与自己区分开
EP03: ヒエラルキーに縛られてるのは俺だ | 被等级束缚的人是我
EP03: なに　怖いんだけど | 什么情况 好可怕
EP03: タイラズマ　おつ | 是平东啊
EP03: 母音をくっつけるな | 别连在一起读
EP03: 一緒に帰んの | 你们一起回去吗
EP03: じゃあね | 拜拜
EP03: また明日 | 明天见
EP03: まあ　堂々と　二人並んで | 两人大大方方在一起
EP03: 人の目気にせず　一緒に帰って | 不在意他人的目光 一起回去
EP03: なんかさあ | 总感觉
EP03: 夢あるよな　あの二人 | 他们的关系真美好啊
EP03: お前　高校デビューだもんな | 毕竟你初中是那种形象嘛
EP03: うるせえ | 要你管
EP03: ねえ　鈴木さん | 铃木同学
EP03: 例えば　鈴木さんの好きな人間像があったとして | 假如你喜欢某种类型的男生
EP03: それに近づければいいとは思うけど | 我希望自己能贴近那种形象
EP03: 僕は　自分の倫理観から外れたことはできないと思う | 但我又没法违背自己的三观
EP03: 「ちょっと　悪い雰囲気ある人に　カッコイイって惹かれる気持ち」 | 「那种带点小坏的男生的确很帅 特别吸引人」
EP03: 「分かっちゃうんだよな」 | 「这种感觉我超懂」
EP03: やっぱ　気にしてんじゃん | 你果然很在意嘛
EP03: 気にしてない | 我没有
EP03: いや　本当に気にしてなかったら言わないね | 才怪 要是真不在意你肯定都不会提
EP03: 気に…してない | 我…没在意
EP03: うそ | 骗人
EP03: ちょっと | 喂
EP03: なんでうれしそうなの | 你怎么这么高兴
EP03: だって… | 因为…
EP03: ごめん　ごめん | 抱歉 抱歉
EP03: 谷くん | 谷同学
EP03: 好きの種類って　いろいろあるわけですよ　分かる | 喜欢也是分很多种的 你知道吗
EP03: 分かってるって | 我知道的
EP03: カッコイイってのも | 拿觉得帅举例
EP03: 見た目だったり　内面だったり　行動だったり | 就分外表 内在 行为等等方面
EP03: いろんな憧れの種類があってね | 所以喜欢也是分很多种的
EP03: 分かって | 我知道的
EP03: 「今の顔　超かわいい」 | 「你刚才的表情太可爱了」
EP03: 人は　やっぱ | 人啊
EP03: 理想のカッコイイに惹かれてしまうんだよね | 就是会被自己理想中的帅气吸引
EP03: 谷くん　カワイイ | 谷同学好可爱
EP03: カワイイ | 好可爱
EP03: ねえ　鈴木さん　それ一体どういう意味 | 铃木同学 那到底是什么意思
EP03: 小さい谷くん　カワイイ | 小小的谷同学也好可爱
EP03: 苦し… | 难受…
EP03: あれ　起きるの早い | 咦 今天起这么早
EP03: てんぷらに起こされた | 被天妇罗吵醒了
EP03: てんぷらは今日も　かわいいねえ | 天妇罗今天也很可爱呢
EP03: 「悪い雰囲気ある人に　カッコイイって惹かれる気持ち　分かっちゃう」 | 「小坏的男生的确很帅 特别吸引人 这种感觉我超懂」
EP03: 「好きの種類って　いろいろあるわけですよ」 | 「喜欢也是分很多种的」
EP03: 気にしない　とは言ったけど | 虽然我说了不在意
EP03: 鈴木さんの思う　カッコよさって… | 但铃木同学心中的帅气…
EP03: 強さ | 是强大吗
EP03: だとしたら　僕は… | 如果是的话 那我…
EP03: 重たい | 好重
EP03: ああ　もう | 啊 真是的
EP03: どいてよ | 让开呀
EP03: ふるへえ　へめえ | 烦死了 一边去
EP03: お母さん　体操服どこ | 妈妈 我体操服呢
EP03: 俺　今日帰らねえから　夕飯いらん | 我今晚要出去 晚饭不用管我
EP03: ああ　もう　一気にいろいろ言わないで | 真是的 你们一个一个说嘛
EP03: 途中まで乗せて | 载我一程
EP03: クソが | 可恶
EP03: ここでオッケー | 这里就行
EP03: 指図すんな | 别指挥我
EP03: サンキュー　サンキュー | 多谢多谢
EP03: 鈴木の登校　いかつ | 铃木上学真有范啊
EP03: ねえ | 对吧
EP03: 「ねえ」って | 对吗
EP03: 距離感… | 距离感…
EP03: 谷　今のバイク乗ってたの　誰か知ってる | 谷 你知道刚才骑摩托的人是谁吗
EP03: いや | 不知道
EP03: 鈴木 | 铃木
EP03: アズ… | 东…
EP03: 谷くん | 谷同学
EP03: なに　どういう組み合わせ | 什么情况 你们怎么在一起
EP03: おはよう | 早啊
EP03: ねえ　さっきの鈴木兄だよね | 我说 刚刚那是铃木的哥哥吧
EP03: そうだよ | 是啊
EP03: バイク送迎　最高じゃん | 骑摩托车送你也太棒了
EP03: 兄　紹介してよ | 介绍给我认识吧
EP03: だから　東趣味悪すぎるって | 你也太没品味了
EP03: ねえ　谷くん | 对吧 谷同学
EP03: それ　僕に同意求めないで | 这就别问我的意见了
EP03: 安心した | 放心了吧
EP03: そういえば　谷くんって　兄弟いる | 话说 谷同学有兄弟姐妹吗
EP03: いない | 没有
EP03: ぽい | 是呢
EP03: それはどういう「ぽい」なんだろう | 到底是什么了
EP03: 鈴木兄って　彼女いんの | 铃木的哥哥有女朋友吗
EP03: 知らんけど　いなかったとしても全然お勧めないよ | 不知道 但就算没有也不建议你尝试
EP03: いや　どういう絵面だよ | 这是什么组合
EP03: しゃっ　帰りまっせ | 好 回家咯
EP03: 鈴木さん | 铃木同学
EP03: 今日　僕　図書委員の当番で残るから | 今天我图书委员值班 要留下来
EP03: ありゃ　そうなの | 哎呀 是这样吗
EP03: そりゃ　しかたないね | 那也没办法嘛
EP03: しかたなくなさそう | 看着好像不太开心
EP03: あれ | 咦
EP03: 鈴木さん | 铃木同学
EP03: どうしたの | 你怎么了
EP03: えっと | 那个
EP03: そういえば　まともに図書室使ったことないなって | 我想起来自己还没在图书室待过
EP03: せっかくだし　この機会に行ってみようかなって | 就想着机会难得 正好来看看嘛
EP03: ごめん　なんかストーカーっぽいね | 抱歉 我好像跟踪狂
EP03: そんなこと思わないよ | 我没这么觉得
EP03: そう　よかった | 是吗 太好了
EP03: というか　どちらかといえば　うれしい | 倒不如说  我其实很开心
EP03: それを伝えた方がよかったのか | 我是不是应该告诉她
EP03: けど　あまり長い時間待たせたくないな | 但我又不想让她等太久
EP03: 鈴木さん | 铃木同学
EP03: 飽きたら　先に帰っていいから | 如果觉得无聊可以先回去
EP03: いくら私でも　読書ぐらいできるけど | 就算是我多少也会读点书的
EP03: いや　そういう意味じゃ | 不 我不是那个意思
EP03: やっぱ　今のなし | 还是当我没说
EP03: ちゃっと本借りて　今日は帰ろうかな | 我还是借本书就回去吧
EP03: いや確かに　冷やかしで来てるっぽくて　嫌だよね | 确实 像闹着玩一样跑来很惹人厌吧
EP03: バイト先に友達が来たときの | 就像朋友跑来打工的店里时
EP03: あのどの顔の自分でいくか迷う感じみたいな | 那种不知道该用什么态度接待的感觉
EP03: 何か… | 总感觉…
EP03: 意図と違う伝わり方をしている感じがする | 我的想法和表达方式有出入
EP03: 鈴木さん | 铃木同学
EP03: ここ　17時に施錠なんだけど | 这里五点关门
EP03: 待てる | 你能等我吗
EP03: 今まで | 一直以来
EP03: 言葉の文字どおりの意味以外の部分とか | 我都没留意过话语本身含义之外的部分
EP03: 表面で見えている部分とその内側との差とか | 也没去想过其表层与深层含义之间的差别
EP03: 反対に　自分の言葉が　意図と同じように伝わっているかなんて | 反过来 自己说出口的话有没有按照本意传达给对方
EP03: 気にも留めてなかった | 我都没有考虑过
EP03: 言葉で思考を表現することも | 无论是用话语来表现思考
EP03: 思考を言葉だけから読み取ることも | 还是从中读懂对方的想法
EP03: 完全は難しい | 都很难做到准确
EP03: 今は　些細なギャップが逐一気になってしかたない | 可现在 哪怕再小的区别都让我在意得不行
EP03: ゴマポン | 芝麻酱
EP03: ゴマポンも今帰るとこ | 芝麻酱要回去了吗
EP03: 見て分からんか | 看不就知道吗
EP03: 自転車　電動じゃん　ウケる | 还是电动自行车 笑死我了
EP03: ウケるんじゃない | 有什么好笑的
EP03: 日が暮れる前に帰りなさいよ | 趁太阳还没落山 赶紧回家吧
EP03: はーい | 好
EP03: 鈴木さん　お待たせ | 铃木同学 久等了
EP03: 今さっき　ゴマポン帰ってった　自転車で | 我刚刚看到芝麻酱骑自行车回去了
EP03: 自転車くらい乗るでしょ | 骑自行车很正常吧
EP03: いや　だって　めっちゃ小さい自転車乗ってんだもん | 可是他骑的自行车超级小
EP03: 車輪あんパンくらいの | 车轮小得像豆沙包
EP03: カワイイって思っちゃった | 看着超级可爱
EP03: 出た | 出现了
EP03: 鈴木さん　その鈴木さんの言うカワイイって　どういう意味 | 铃木同学 你所说的「可爱」到底是什么意思呢
EP03: 意味？ | 意思？
EP03: 例えば　猫とかパンダがカワイイっていうのは分かるんだけど | 比如说 我能理解用可爱来形容小猫啊熊猫这些事物
EP03: 後藤先生がっていうのは　よく分からなくて | 但用来形容后藤老师 我就理解不了
EP03: そういう | 我想想
EP03: カワイイ以外で　どう言ったらいいんだろう | 除了可爱还能用什么词呢
EP03: 心臓がぎゅってされるっていうか | 那种牵动心脏的感觉
EP03: 愛おしい | 惹人怜爱吧
EP03: って感じかなあ | 差不多是这种感觉
EP03: けど　男の人はあんま使わんか　カワイイって | 不过也是 男生不太用可爱这个词吧
EP03: じゃあね | 拜拜
EP03: これから図書室通おうかな | 以后我也去图书室吧
EP03: 借りたやつ　続きものだし | 借的书还有续篇
EP03: それ　僕も昔読んだ | 我以前也读过这本书
EP03: ほんと | 真的吗
EP03: じゃあ　読んだら語れるじゃん | 那等我读完就有的聊了
EP03: 今度　谷くんのおすすめの本教えてよ | 下次给我推荐一些书吧
EP03: けど… | 可是…
EP03: まあ　たぶん趣味全然違うだろうけど | 不过我们的喜好可能完全不同呢
EP03: でも別に　全部が全部合わなくてもいいっていうか | 但也没关系 不用什么都完全契合
EP03: なんかこう　徐々にお互いのこと知っていって | 就这样慢慢了解彼此
EP03: これが好きって話したときに | 等谈到各自喜欢的东西时
EP03: 「ああ　好きそう」って言えるような | 能够自然地感受到对方会喜欢
EP03: 分かってる人になりたいなって | 成为真正懂得对方的人
EP03: 鈴木さん | 铃木同学
EP03: 自分は　鈴木さんが思うような　カッコイイ人にはなれない | 我没法成为铃木同学心中那样帅气的人
EP03: けど… | 不过…
EP03: カワイイ | 你真可爱
EP03: 伝わってる | 传达到了吗
EP03: はい | 是的
EP03: じゃあ　また明日 | 那就 明天见
EP03: はい | 好
EP03: あ　谷だ | 是谷
EP03: 谷　はよ | 早啊 谷
EP03: おはよう | 早上好
EP03: あのさ　谷 | 我说 谷
EP03: 俺　この前　鈴木に「なんで　谷」って聞いたんだけど | 之前我问过铃木 为什么选了你
EP03: お前　んなこと聞いたん | 你还问过这个吗
EP03: 「自分を持ってるところが　カッコイイ」っつってたわ | 她说 你拥有自我这一点很帅
EP03: なんだよ　リアクション悪いな | 你这什么糟糕的反应
EP03: いや　なんでわざわざそれを僕に | 为什么要特意告诉我
EP03: はあ | 什么
EP03: 自分のいないところで言われてた褒め言葉がいちばんうれしいだろが | 自己不在场却被夸了 不应该感到高兴吗
EP03: 普通に直接言われたくね | 当面被夸不是更好吗
EP03: 相手の気をよくしようって意図が混ざってる | 那种掺杂着讨好对方意图的话
EP03: 本心か　お世辞か　分からねえ言葉より | 到底是真心还是客套 根本分不清
EP03: いないところで言われてた言葉の方が純度高えだろ | 对方不在场时的夸赞反而更纯粹吧
EP03: お前は人を疑い過ぎ | 你这人真是多疑
EP03: じゃあ何　平は谷を喜ばせたいの | 那是怎样 你想让谷开心吗
EP03: お前の親切独特すぎん | 你的示好方式也过于独特了
EP03: 平くん | 平同学
EP03: いい人なんだね | 你人真不错呢
EP03: だから　そういうのいいから | 我都说了不要这种夸赞
EP03: 俺はただ自分の悪感情と向き合う過程で | 我只是在对抗自己的负面情绪时
EP03: たまたま今お前にとっていいことをしただけであって | 碰巧做了件对你好的事
EP03: 俺はいい人間じゃねえ | 我可不是好人
EP03: ひえ　めんどくせえ | 真麻烦啊
EP03: どんな漫画 | 什么漫画
EP03: 本だってば | 是书啦
EP03: 鈴木が本読むなんて | 铃木居然会读书
EP03: あれ | 咦
EP03: なんか変なメンツ | 少见的组合
EP03: ほんとだ | 还真是
EP03: もうちょっとで　あいつののろけ… | 差点就要被迫听她秀恩爱…
EP03: 谷くん　笑ってるじゃん　珍しっ | 谷同学居然在笑 真少见
EP03: なんで | 为什么
EP03: 悔しい | 我不甘心
EP03: 私の方が絶対おもろなのに | 明明我更有意思啊
EP03: どこで張り合ってんの | 这你也要争吗
EP03: #注：原本是REAL GOLD，日本可口可乐推出的碳酸饮料
EP03: #渡边
EP03: #佐藤
EP03: #跳过说明
EP03: #※局子=少管所
EP03: #菅田健
EP03: #等级制度
EP03: #大嘴巴
EP03: #论外
EP03: #太帅了
EP03: #又开始了
EP03: #对待朋友时的铃木
EP03: #想被牵着走
EP03: #喜欢稍微强硬一点的
EP03: #有那种人吗
EP03: #没有
EP03: #好帅
EP03: #MV里全是男人
EP03: #太棒了
EP03: #秀恩爱
EP03: #说中了
EP03: #同一所初中
EP03: #今早的自己
EP03: #超可爱
EP03: #简直可爱得要命
EP03: #「可爱」
EP03: #可爱
EP03: #能懂
EP03: #可爱
EP03: #不懂
EP03: #夹在中间的谷
EP03: #放学后
EP03: #图书室
EP03: #察觉
EP03: #察言观色的铃木
EP03: #对朋友的态度
EP03: #工作时的微笑
EP03: #语言与思考
EP03: #会话力 = 「表达的方法」
EP03: #沟通能力
EP03: #还钥匙去了
EP03: #芝麻酱（后藤胜）
EP03: #社会学老师
EP03: OUT

EP04: IN
EP04: 今年　の夏はどこに行こうか | 这个夏天 我们去哪玩吧
EP04: 谷くんと夏祭り行きたいな | 好想跟谷同学一起去夏日祭啊
EP04: 隣町の花火大会 | 隔壁市的烟花大会吗
EP04: 花火は見たいけど　人多そうだし | 虽然我想看烟花 但感觉人会很多啊
EP04: 同じ日にやってる　町内の夏祭りかなあ | 都是同一天 还是去市里的夏日祭吧
EP04: 浴衣とか着んの | 要穿浴衣吗
EP04: 谷くんの浴衣姿 | 谷同学穿浴衣吗
EP04: 見たいけど　誰にも見せたくない | 我是想看 但不想给别人看
EP04: いや　鈴木の話 | 我是说你啦
EP04: って　まずは谷くん誘わなきゃ | 不对 得先邀请谷同学
EP04: まずは期末テストでしょ | 得先期末考试吧
EP04: はい　今日やったとこ　テストに出るからな | 今天教的内容 考试都会考哦
EP04: 人なら誰もが持っていた第六感 | 世人皆有过的第六感
EP04: 子どもの精神を壊す　とある星の光 | 摧毁孩子们精神的那道星光
EP04: 死のほかにあった４つの結末 | 死亡之外的四种终结
EP04: 期末テスト | 期末考试
EP04: その存在を覚えているのは　今はもう私だけになり | 如今记得这一切的恐怕只有我了
EP04: テストの悪魔は生きてるよ | 考试恶魔还活着哦
EP04: ねえ「ビビンバって」本当は「ピビンパ」だって知ってた | 你知道吗「Bibimbap」其实应该读作「Pibimpap」
EP04: 現実逃避しないの | 不要逃避现实
EP04: ねえ　知ってた | 你知道吗
EP04: 谷くんを巻き込むな | 别把谷同学卷进来
EP04: 谷くん　今までなんて言ってた | 谷同学之前都是怎么读的
EP04: ビビンバ | Bibimbap
EP04: ほらね | 看吧
EP04: 何が「ほらね」なんだ | 你在得意什么
EP04: パがお米って意味だから | pa是米的意思
EP04: ピビンパの方が発音近いんだって | 所以Pibimpap发音更接近
EP04: もう分かったから　ちゃんと現実と向き合って | 好了知道了 该面对现实了
EP04: なに　テスト期間まだ先じゃん | 什么 离考试周还有一阵子吧
EP04: いけるっしょ | 没问题的
EP04: 油断しちゃいけないヤツらが油断してる | 最不能放松的人都还这么放松
EP04: また直前にノート写させてとか言わないでよ | 别又快到考试了再来找我借笔记抄
EP04: えっ | 什么
EP04: 「えっ」って　こら | 真这么打算啊
EP04: 写すなら　今写しちゃって | 要抄就现在拿去抄
EP04: もう　今日は勉強会開催です | 真是的 今天开学习会
EP04: そういや　平は | 话说平呢
EP04: なんか　バイトの研修　だって | 听说是有兼职培训
EP04: なあ　谷も参加する　勉強会 | 对了 谷要参加学习会吗
EP04: しない | 不了
EP04: そっか | 好吧
EP04: やっぱ　余裕あるよなあ　あいつ | 那家伙果然一点不慌啊
EP04: というより　谷くんが私らと勉強するメリットないでしょ | 不如说谷同学跟我们一起学习没什么好处吧
EP04: 違う　違う | 不是啦
EP04: 谷くん　このあと　図書委員の仕事あるから | 谷同学这之后还有图书委员的工作
EP04: あっ　そういうこと | 是这样啊
EP04: って　分かるか　言葉足らずが過ぎる | 这谁懂啊 把话讲清楚嘛
EP04: 待って　いいことに気付いちゃった | 等下 我想到个好点子
EP04: あっ　お前も | 你也想到了
EP04: 図書室 | 图书室
EP04: じゃ　まずはノート写すとこからやっちゃって | 那就先从抄笔记开始吧
EP04: 鈴木のノート　ゴッテゴテじゃん | 铃木的笔记本也太花哨了
EP04: 勉強する気には見えねえよな | 不像爱学习的人会用的
EP04: 中がちゃんとしてりゃいいの | 内容没问题就行啦
EP04: やばい　こんなん授業でやったっけ | 天啊 这些东西课上真的有讲吗
EP04: ノート見ても思い出せん | 看着笔记也想不起来
EP04: 寝てただろ　大丈夫かいな | 你打瞌睡了吧 考试真能行吗
EP04: まあ　まあ　いざとなったら八門まで開く | 没事 危急关头我会开八门的
EP04: 重体になるやつじゃん | 那招用完不得重伤吗
EP04: よっしゃ | 好耶
EP04: 終わった　終わった | 抄完了抄完了
EP04: まだノート写しただけだけどね　君ら | 你们才刚抄了个笔记而已吧
EP04: 今からこんなに勉強しちゃったら　平均60点も夢じゃないね | 从现在开始就这样学习 平均60分也不是梦吧
EP04: 宿題　分からん | 作业不会做
EP04: ここ　答え　何 | 这里答案是什么
EP04: ちょっとは自分で考えい | 好歹自己动动脑子吧
EP04: 谷　教えて | 谷 教教我
EP04: 私も | 我也要
EP04: こら | 喂
EP04: よって　xイコール２ | 因此 x等于2
EP04: 分かった | 听懂了吗
EP04: なるほど | 原来如此
EP04: 完璧 | 全懂了
EP04: よし　谷　俺らと一緒に東大行こうぜ | 好 谷 和我们一起去东大吧
EP04: 段階　飛ばし過ぎだよ | 步子迈太大了吧
EP04: 私ら　今段階で言うとどのへん | 我们现在大概在哪一步呢
EP04: 聞かれると困る | 这我不好回答
EP04: 伸びしろあり過ぎて　計測不能ってこと | 看来我们潜力无穷 前途不可测量啊
EP04: 何にやにやしてんの | 你在傻笑什么呢
EP04: いや | 没什么
EP04: なんか　好きな人と友達が仲よくなっていくの | 看到喜欢的人跟朋友关系越来越好
EP04: 結構うれしい | 感觉很开心
EP04: そわそわするなって思って | 有种兴奋的感觉
EP04: ちょっと分かるかも | 我有点懂你意思
EP04: それぞれ　別々の枠だったのに | 原本不同的两个圈子
EP04: 境界がなくなる感じね | 逐渐打成一片的感觉
EP04: そうそう | 对对
EP04: 私　東大行ける気がする | 感觉我能上东大
EP04: いや　俺も | 没错 我也是
EP04: いやいや　私かな | 不不不 应该是我
EP04: ねっ　谷くんどう思う | 谷同学觉得呢
EP04: 私も仲よくなれると思う | 你觉得我也能跟他成为朋友吗
EP04: サトはいけるでしょ | 你肯定可以吧
EP04: なんかちょっと似てるし　谷くんと | 毕竟你们还挺像的
EP04: ヘイ　帰還　帰還 | 我回来咯
EP04: 谷くんのおかげで　無事　この世の全てを理解した | 多亏了谷同学 我总算理解世上的一切了
EP04: よかったね | 太好了
EP04: これから私らで東大目指そって話してた | 我们还说以后要一起考东大
