EP01: IN
EP01: 「心象のはひいろはがねから」 | 「自心象的灰色钢铁中」
EP02: ラジオは３人で担当しているんですか | 广播是由三个人负责吗
EP02: そうしたかったんだが | 原本是这样打算的
EP02: こいつがやりたがらねえから　アタシと良子で回してんだよ | 但这家伙不想干 只有我和良子两人负责
EP02: な | 对吧
EP02: ええ | 对
EP02: 昼休みと放課後の活動場所は大体ここだ | 午休和放学后的活动场地基本就是这里
EP02: いつでも来てくれていいからね | 随时都欢迎你们来哦
EP02: 経験者の２人は分かると思うけど | 有经验的两人我想能明白
EP02: この学校の設備異常にいいだろ | 这所学校的设备出奇的好
EP02: ウワサどおりです | 和传闻一样
EP02: スタジオ　すげえ広いっすね | 录音棚超级大呢
EP02: この棟　１年前に建て替えられてさ | 这栋楼一年前翻新了
EP02: 放送室もめちゃくちゃキレイになったんだ | 广播室也变得超级漂亮了
EP02: ホントに広い | 真的好大
EP02: あれは何ですか　隅っこの | 角落那边的是什么
EP02: あそこは本棚なんだけど | 那里原本是书架
EP02: 瀬太郎くんの領土になっちゃってるね | 但是现在成了濑太郎的领地了
EP02: Nコンのエントリーは５月だから | N杯的报名在五月
EP02: 一年のみんなもそれまでに朗読かアナウンスのどっちに出るか決めなきゃね | 一年级的大家也必须赶在那之前决定选朗诵还是选播音
EP02: やっぱり　私も出るんですか | 果然 我也要参加吗
EP02: ああ | 当然
EP02: ２人は経験者だから　どっちにするかもう決めてるかもしれないが… | 既然你俩有经验 应该已经决定好要参加哪边…
EP02: 俺出ないっすよ | 我不参加
EP02: アナウンスも朗読も興味ないんで | 播音和朗诵我都没兴趣
EP02: それは… | 这…
EP02: 許されない | 不可原谅
EP02: 僕だって出たくないのに | 明明我也不想参加
EP02: 去年無理やり出されたんですよ | 去年却被强迫参加了
EP02: 何で入ったばっかの一年が特別扱いされると思ってるんです… | 凭什么你一年级刚进来就想受到特殊照顾…
EP02: まあまあ　落ち着けよ | 别着急 先冷静
EP02: 瀬太郎くん　去年は瑞希に引きずられて出たみたいなところあるからね | 去年濑太郎几乎是被瑞希强拽着去参加比赛的
EP02: それは… | 那真是…
EP02: 夏江は中３からアナウンスになったんだろ | 夏江你初三就改成播音了吧
EP02: アナウンスが好きなのか | 你喜欢播音吗
EP02: 好き嫌いは関係ないです | 这和喜不喜欢没关系
EP02: 私の声の適正がそちらにあると分かったので | 只是因为我的声音更适合播音
EP02: まあ　いいや | 那也行吧
EP02: 良子　あれ配って | 良子 发下那个
EP02: 吉祥寺…顧問が作ったんだ | 这是吉祥寺…顾问做的
EP02: 何だ　この猫 | 这只猫是什么
EP02: うちの放送部のマスコットキャラ　すもみゃんだ | 这是我们广播部的吉祥物 李子喵
EP02: 幼稚ね | 真幼稚
EP02: ちょっと発声練習をやってみよう | 来试着做会儿发声训练吧
EP02: 腹式呼吸を意識しろ | 注意用腹式呼吸
EP02: 腹式呼吸？ | 腹式呼吸？
EP02: 息を吸った時に腹が膨らんで | 吸气的时候让腹部膨胀
EP02: 吐いたら戻る | 呼气后复原
EP02: 逆じゃなくてですか | 不应该反过来吗
EP02: そっちは胸式呼吸 | 那是胸式呼吸
EP02: 声を安定させるなら　腹式の方がいい | 想要稳定发声的话 用腹式更好
EP02: それから　あくびする時みたいに口を大きく開けて | 还有 要像打哈欠时那样把嘴张大
EP02: 喉をしっかり開くことを意識するんだ | 注意把喉咙充分打开
EP02: 15秒間まっすぐに伸ばしてみろ　ほら | 试着把声音拉直15秒 像这样
EP02: すごいだろ | 很神奇吧
EP02: リラックスして声を出せるようになるのが上達の第一歩だな | 能不费劲发出声来就算迈出了第一步
EP02: はい | 是
EP02: 次は滑舌の練習だ | 接下来是绕口令练习
EP02: 北原白秋のこの「五十音」や　歌舞伎の長ぜりふ「外郎売」なんかを使う | 用北原白秋的「五十音」和歌舞伎的长台词「外郎卖」来练习
EP02: ペアになって読み合ってみよう | 试试两人一组互相读吧
EP02: じゃあ　私からやるわ | 那么 我先来吧
EP02: 「あめんぼ　あかいな　アイウエオ」 | 「水黾 红色的 AIUEO」
EP02: やっぱり… | 果然…
EP02: やっぱりって | 什么果然
EP02: 地声と読む時の声が全然違うなって | 本音和练习的声音完全不同
EP02: すごくキレイでクリアな声というか | 声音变得非常干净清澈
EP02: 当たり前でしょ　笑声なんだから | 当然了 我用的是笑声
EP02: 笑声？ | 笑声？
EP02: 「笑う声」と書いて笑声 | 微笑的笑 声音的声
EP02: 口角を上げて読むからそう言われてる | 发声时嘴角上扬所以这么叫
EP02: あんた　本当に朗読やるの | 你真的要选朗诵吗
EP02: やりたいと思ってるよ | 我是打算选
EP02: 物語を読むのが好きだから | 因为我喜欢读故事
EP02: 好き嫌いで決めるもんじゃない　こういうのは | 这不是喜不喜欢能决定的事情
EP02: 声質は才能なのよ | 声线是人的天赋
EP02: 結果を出したいなら　自分の武器を自覚しないと | 要想取得成果 就得清楚自己的强项
EP02: 私は別に結果なんて | 我并不是非要取得成果
EP02: 読むのが好きってだけだから | 只是因为我喜欢朗诵
EP02: 負け犬のせりふね | 败犬的台词呢
EP02: 負け犬？ | 败犬？
EP02: だから　きついんだよ第二は | 别再拿二中那套说事了
EP02: 私はもう… | 我已经…
EP02: 誰にも負けたくないの | 不想再输给任何人了
EP02: ギクシャクしてるな | 闹别扭了呢
EP02: 先輩としては　もう少し仲良くしてほしいんだけどなあ | 作为前辈 还是希望他们能好好相处呢
EP02: そうだ | 对了
EP02: 杏ちゃん　花奈ちゃん | 杏子 花奈
EP02: 18ページを開いてくれる | 你们翻到第18页
EP02: 『銀河鉄道の夜』 | 『银河铁道之夜』
EP02: それはね　基礎練習が大嫌いだった瑞希が楽しめるようにって | 因为瑞希实在讨厌基础训练 为了让她乖乖练习
EP02: 顧問の先生が工夫してくれたものなの | 顾问老师就想了这么个办法
EP02: おいっ　ばらすなよ | 喂 不要说出来
EP02: AとBに振り分けられた原稿を交互に読むの | 交替读分出的A和B两个部分
EP02: やってみて | 试一试吧
EP02: 私はAを読むから　あんたはBね | 我来读A 你来读B
EP02: 分かった | 知道了
EP02: 「カムパネルラ　また僕たち二人きりになったねえ」 | 「卡帕涅拉 这回又只有我们俩了」
EP02: 「どこまでもどこまでも一緒に行こう」 | 「不管去哪里 我们都要一同前行」
EP02: 「僕はもう　あのさそりのようにほんとうに」 | 「我要像那只蝎子一样」
EP02: 「みんなの幸のためならば　僕のからだなんか百ぺん灼いてもかまわない」 | 「为了大家的幸福 就算我的身体浴火百次也在所不惜」
EP02: 「うん　僕だってそうだ」 | 「嗯 我也是」
EP02: 「カムパネルラの眼には　きれいな涙がうかんでいました」 | 「卡帕涅拉的眼中 闪烁着晶莹的泪光」
EP02: 「けれども　ほんとうのさいわいは一体何だろう」 | 「可是 真正的幸福究竟是什么呢」
EP02: 「ジョバンニが云いました」 | 「乔凡尼问道」
EP02: 杏ちゃん焦ってるわね | 杏有些心乱了呢
EP02: 花奈ちゃんって相手を引き込む声してるからなあ | 花奈的声音好似能让人身临其境
EP02: 世界観を表現するためにある声って感じ | 如同只为讲述那个世界的故事而生
EP02: だからスカウトしたんだ | 所以我才拉她进部
EP02: 持って生まれた声質はどうにもならない | 与生俱来的声线是无法改变的
EP02: 才能ってホント暴力的 | 天赋的差距真是残酷
EP02: ね | 是吧
EP02: 何でもない | 没什么
EP02: 「僕わからない」 | 「我不知道」
EP02: 「カムパネルラがぼんやり云いました」 | 「卡帕涅拉茫然若失地说」
EP02: ２人で読むのって結構楽しいだろ | 两个人一起读很有趣吧
EP02: アタシらもよくやったよな | 我们以前也经常这样
EP02: 私　誰かと読むの初めてで | 我还从没和别人一起读过
EP02: だから　夏江さんと一緒に読んだの　楽しかった | 所以能和夏江同学一起读我真的很开心
EP02: バカにされた方がよっぽどマシね | 被你嘲笑我还能好受些
EP02: 「僕もうあんな大きな暗の中だってこわくない」 | 「无论多么黑暗我也不会害怕」
EP02: 「きっと　みんなのほんとうのさいわいをさがしに行く」 | 「我一定要为大家寻找到真正的幸福」
EP02: 「どこまでもどこまでも　僕たち一緒に進んで行こう」 | 「不管去哪里 我们都要一同前行」
EP02: 「ああ　きっと行くよ」 | 「嗯 一同前行」
EP02: お前にとってのさいわいが何か知らねえが | 虽然不知道对你来说幸福是什么
EP02: アナウンスだろうが朗読だろうが | 但是 播音也好朗诵也罢
EP02: 自分のやりたい方を選べばいい | 选择你想做的就好
EP02: 後悔ってやつは　大抵後から気づくもんだからな | 毕竟后悔 往往在抉择后才会悄然浮现
EP02: 落ち込んでいるけど　現時点で読みの技術が高いのは杏ちゃんの方よね | 虽然杏有些沮丧 但现阶段还是她读得更有技巧
EP02: 僕は　夏江さんの考え方も一理あると思いますけどね | 不过 我觉得夏江同学的想法也不无道理
EP02: 好き嫌いと向き不向きは別じゃないですか | 喜不喜欢和擅长与否是两回事
EP02: どれだけ努力しても報われないなら | 要是怎么努力都得不到回报
EP02: 自分の適性に合ったフィールドで戦った方がいい | 不如选择在适合自己的领域奋斗
EP02: まあ　お前の考えも正しいな | 嗯 你说的也有道理
EP02: 好き | 喜欢
EP02: 秋山くんのこと好きなの | 你喜欢秋山吗
EP02: そんなわけないでしょ | 怎么可能
EP02: でも　今… | 但你刚说…
EP02: とにかく　私は絶対に結果を出す | 总之 我会拿出成果来
EP02: それで　私が正しいってことを証明してやる | 以此证明 我的想法是对的
EP02: 理解した | 明白了吗
EP02: あの２人仲良くなれそうでよかったね | 她们俩能友好相处真令人欣慰
EP02: あんたの目　節穴じゃね | 你的眼睛是瞎了吧
EP02: じゃあ　今日はここまでにしよう | 那么 今天就到这里吧
EP02: っと　忘れるところだった | 啊 差点忘了
EP02: 一年　手出せ | 一年级的 把手伸出来
EP02: 放送部員の証しだ　大事にしろよ | 这是广播部员的证明 好好保管哦
EP02: 部章　私の | 我的部徽
EP02: 改めて　ようこそ　すももが丘高校放送部へ | 再次 欢迎各位加入李子丘高中广播部
EP02: これからよろしくね | 今后也请多多关照
EP02: はい | 好的
EP02: 君ら… | 你们…
EP02: 放送部なんてほっぽって　演劇部に入らへん | 要不退了广播部 来我们戏剧部吧
EP02: #广播部!!
EP02: #谁都 能参加!!
EP02: #迎新 会场
EP02: #欢迎加入李子丘高中广播部!
EP02: #宫泽贤治全集 8 要求特别多的餐厅 奥兹贝尔与象 卜多力的一生 等
EP02: #注: 宫泽贤治『山梨』
EP02: #他人介绍发表会
EP02: #广播室
EP02: #注: SMG是李子丘日语的首字母缩写
EP02: #喵~~
EP02: #欢迎加入广播部！
EP02: #喵！
EP02: #李子丘高中广播部练习手册
EP02: #机密文件
EP02: #一字一句尽量清楚地发音吧
EP02: #基础发声练习
EP02: #选题『银河铁道之夜』宫崎贤治
EP02: #两人一组，交替朗诵A和B的部分
EP02: #注: 蝎子在死前燃烧自己照亮了黑夜
EP02: #李子丘
EP02: #『喜欢与天赋』
EP02: #第二话
EP02: OUT
